国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,225441,15820042,9226411,296698,1.88,4841,32676
印度,31521,9767371,9253306,141772,1.45,721,135405
巴西,53453,6728452,5966118,178995,2.66,3190,21086
俄罗斯,27562,2546113,2015137,44769,1.76,1768,14396
法国,14714,2377911,178937,56752,2.39,3645,6523
英国,16637,1771555,3779,62663,3.54,2661,6657
意大利,12755,1770149,997895,61739,3.49,2985,5929
西班牙,4886,1725473,196958,47019,2.72,3719,4639
阿根廷,5303,1475222,1311488,40222,2.73,3301,4468
哥伦比亚,7523,1392133,1287597,38308,2.75,2814,4946
德国,25556,1254825,929324,20489,1.63,1524,8229
墨西哥,11974,1205229,889168,111655,9.26,921,13075
波兰,13750,1102096,792119,21630,1.96,2892,3810
伊朗,10403,1083023,778167,51496,4.75,1320,8201
秘鲁,0,976621,912501,36401,3.73,3000,3255
土耳其,31712,925342,447361,15531,1.68,1129,8191
乌克兰,13736,881727,483553,14981,1.70,2003,4400
南非,6709,828598,754658,22574,2.72,1443,5739
印度尼西亚,6033,598933,491975,18336,3.06,224,26679
比利时,3071,597643,33687,17603,2.95,5201,1149
荷兰,8838,595363,7551,9984,1.68,3485,1708
伊拉克,0,569873,501967,12526,2.20,1448,3933
智利,0,564778,539171,15690,2.78,3104,1819
捷克,6406,563333,493946,9226,1.64,-,-
罗马尼亚,7067,539107,434679,12948,2.40,2753,1958
孟加拉,1861,485965,410452,6967,1.43,-,-
菲律宾,1376,445540,409058,8701,1.95,418,10651
加拿大,6272,439142,355401,13009,2.96,1188,3695
巴基斯坦,3138,429280,374301,8603,2.00,213,20081
摩洛哥,4096,388184,341685,6427,1.66,1072,3619
瑞士,5041,368695,288400,5771,1.57,4317,854
沙特阿拉伯,0,359274,349624,6002,1.67,1070,3355
以色列,2555,351579,332645,2937,0.84,4160,845
葡萄牙,4097,332073,254700,5192,1.56,3227,1029
奥地利,2686,313688,269665,4163,1.33,3585,875
瑞典,7935,312728,0,7354,2.35,3133,998
匈牙利,5415,265003,77362,6451,2.43,2737,968
约旦,3088,250219,202058,3206,1.28,2527,990
尼泊尔,1217,245650,231601,1663,0.68,829,2962
塞尔维亚,0,241831,15913,2116,0.87,2760,876
厄瓜多尔,476,199228,174188,13814,6.93,1181,1686
巴拿马,1811,182977,156870,3264,1.78,4398,416
哈萨克斯坦,936,182657,154432,2546,1.39,992,1840
阿联酋,1255,181405,161741,602,0.33,1901,954
格鲁吉亚,4570,178953,148332,1657,0.93,4588,390
日本,2975,173088,143549,2405,1.39,136,12718
日本本土,2975,172376,142850,2392,1.39,13,12718
保加利亚,3328,171493,72078,5283,3.08,2439,703
克罗地亚,4620,163992,136721,2420,1.48,3942,416
阿塞拜疆,0,158555,99892,1793,1.13,1598,992
白俄罗斯,1939,154392,132085,1238,0.80,1633,945
多米尼加,531,150161,118008,2350,1.56,-,-
哥斯达黎加,1258,148688,107624,1864,1.25,3003,495
玻利维亚,214,146060,125490,9004,6.16,1302,1121
亚美尼亚,1174,145240,121882,2416,1.66,4956,293
科威特,304,145204,140989,905,0.62,3465,419
卡塔尔,163,140516,138033,240,0.17,5223,269
黎巴嫩,1274,140409,94042,1156,0.82,2305,609
危地马拉,654,127127,115931,4311,3.39,737,1724
阿曼,179,125669,117327,1463,1.16,2607,482
斯洛伐克,3125,124921,91455,1104,0.88,2296,544
摩尔多瓦,1766,120970,103973,2481,2.05,2994,404
希腊,1675,119720,23074,3289,2.75,1074,1114
埃及,421,119702,104074,6832,5.71,120,9937
埃塞俄比亚,568,114834,87244,1769,1.54,107,10667
洪都拉斯,617,112792,50888,2961,2.63,1198,941
突尼斯,1411,106856,81204,3717,3.48,917,1165
委内瑞拉,468,105852,100952,933,0.88,326,3238
巴勒斯坦,1887,104879,78715,910,0.87,2076,505
缅甸,0,103166,81715,2174,2.11,191,5385
丹麦,0,97895,76185,918,0.94,1702,575
波黑,0,97317,61322,3151,3.24,2780,350
中国,126,94738,88290,4755,5.02,6.8,140005
斯洛文尼亚,1847,91922,69170,1949,2.12,4419,208
巴拉圭,725,90146,63891,1901,2.11,1308,689
阿尔及利亚,598,90014,58146,2554,2.84,214,4200
肯尼亚,561,89661,70194,1552,1.73,175,5095
利比亚,661,89183,59222,1273,1.43,1378,647
巴林,201,88495,86518,347,0.39,5672,156
立陶宛,3327,83883,34975,735,0.88,2922,287
马来西亚,2234,78499,66236,396,0.50,245,3204
吉尔吉斯斯坦,379,76391,68894,1306,1.71,1246,613
爱尔兰,218,74900,23364,2102,2.81,1560,480
乌兹别克斯坦,146,74498,71740,611,0.82,230,3236
尼日利亚,474,70669,65242,1184,1.68,36,19587
北马其顿,502,69954,46352,2023,2.89,-,-
新加坡,6,58297,58182,29,0.05,1006,579
加纳,116,52738,51518,326,0.62,179,2946
阿富汗,202,48053,38099,1935,4.03,132,3637
阿尔巴尼亚,752,45188,23072,951,2.10,1542,293
萨尔瓦多,0,40741,37172,1180,2.90,635,641
韩国,666,40098,30637,564,1.41,78,5116
黑山,454,39607,28461,556,1.40,6388,62
挪威,362,39525,17998,382,0.97,738,535
卢森堡,0,38476,29792,360,0.94,6521,59
斯里兰卡,335,30072,22261,144,0.48,143,2095
芬兰,840,29572,20000,442,1.49,533,554
澳大利亚,7,28000,25664,908,3.24,113,2477
乌干达,1199,25059,9510,219,0.87,56,4427
喀麦隆,211,24963,23344,443,1.77,101,2467
拉脱维亚,890,23706,1866,304,1.28,1234,192
科特迪瓦,34,21547,21176,133,0.62,86,2490
