国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,198647,16942822,9871663,308089,1.82,5185,32676
印度,22065,9906165,9422636,143709,1.45,731,135405
巴西,25193,6927145,6158049,181835,2.62,3285,21086
俄罗斯,0,2656601,2105414,46846,1.76,1845,14396
法国,3247,2433859,183340,58391,2.40,3731,6523
英国,20377,1874867,4048,64500,3.44,2816,6657
土耳其,29617,1866345,1631944,16646,0.89,2278,8191
意大利,12025,1855737,1115617,65011,3.50,3129,5929
西班牙,7967,1762036,196958,48013,2.72,3798,4639
阿根廷,5062,1503222,1340120,41041,2.73,3364,4468
哥伦比亚,8742,1434516,1321469,39195,2.73,2900,4946
德国,6451,1357261,1012077,22634,1.67,1649,8229
墨西哥,5930,1255974,927754,114298,9.10,960,13075
波兰,0,1140572,869155,22960,2.01,2993,3810
伊朗,0,1115770,823231,52447,4.70,1360,8201
秘鲁,0,984973,918352,36677,3.72,3026,3255
乌克兰,8416,933737,542251,16025,1.72,2122,4400
南非,5163,866127,762746,23451,2.71,1509,5739
荷兰,61,632085,7944,10168,1.61,3700,1708
印度尼西亚,0,623309,510957,18956,3.04,233,26679
比利时,1074,609211,33687,18054,2.96,5302,1149
捷克,5172,586251,511798,9743,1.66,-,-
伊拉克,0,575972,509474,12603,2.19,1464,3933
智利,1911,573830,546538,15931,2.78,3154,1819
罗马尼亚,0,559587,460780,13494,2.41,2857,1958
孟加拉,0,492332,423845,7089,1.44,-,-
加拿大,7617,472820,385021,13570,2.87,1279,3695
菲律宾,0,450733,418723,8757,1.94,423,10651
巴基斯坦,2459,443246,386333,8905,2.01,220,20081
摩洛哥,1217,400826,359065,6659,1.66,1107,3619
瑞士,0,384557,308300,6154,1.60,4503,854
以色列,2004,360297,338642,3004,0.83,4263,845
沙特阿拉伯,0,360013,350792,6059,1.68,1073,3355
葡萄牙,2194,350938,274277,5649,1.61,3410,1029
奥地利,0,325051,284174,4530,1.39,3714,875
瑞典,0,320098,4917,7514,2.35,3207,998
匈牙利,0,283870,82546,7130,2.51,2932,968
塞尔维亚,0,271364,15913,2380,0.88,3097,876
约旦,2863,262477,222654,3407,1.30,2651,990
尼泊尔,0,249244,236573,1716,0.69,841,2962
厄瓜多尔,70,202180,177951,13875,6.86,1199,1686
格鲁吉亚,3837,194900,164786,1883,0.97,4997,390
巴拿马,1612,194619,163334,3382,1.74,4678,416
哈萨克斯坦,683,186960,158705,2554,1.37,1016,1840
阿联酋,0,186041,164349,618,0.33,1950,954
日本,663,183653,151490,2557,1.39,144,12718
日本本土,663,182941,150791,2544,1.39,14,12718
保加利亚,2095,181544,85578,5838,3.22,2582,703
阿塞拜疆,0,178986,114841,1966,1.10,1804,992
克罗地亚,0,177358,151884,2705,1.53,4263,416
白俄罗斯,0,162148,139785,1273,0.79,1715,945
多米尼加,492,155184,121007,2364,1.52,-,-
哥斯达黎加,2222,153169,118511,1936,1.26,3094,495
亚美尼亚,438,149120,127452,2529,1.70,5089,293
黎巴嫩,1093,147613,103057,1210,0.82,2423,609
玻利维亚,195,147345,126439,9024,6.12,1314,1121
科威特,0,146449,142357,912,0.62,3495,419
卡塔尔,160,141121,138719,241,0.17,5246,269
斯洛伐克,0,133489,98585,1205,0.90,2453,544
危地马拉,0,129405,118217,4445,3.43,750,1724
摩尔多瓦,735,127253,110179,2598,2.04,3149,404
阿曼,0,126504,118287,1472,1.16,2624,482
希腊,639,125173,23074,3687,2.95,1123,1114
埃及,511,122086,105132,6943,5.69,122,9937
埃塞俄比亚,473,117242,95225,1809,1.54,109,10667
洪都拉斯,283,114642,51688,2989,2.61,1218,941
丹麦,0,113642,81088,950,0.84,1976,575
突尼斯,0,111361,84741,3894,3.50,955,1165
巴勒斯坦,0,111102,87057,1000,0.90,2200,505
缅甸,0,109512,88131,2292,2.09,203,5385
委内瑞拉,339,108125,103037,960,0.89,333,3238
波黑,0,101461,66486,3391,3.34,2898,350
斯洛文尼亚,0,96745,73760,2107,2.18,4651,208
中国,103,95167,88730,4761,5.00,6.8,140005
立陶宛,0,95021,38957,825,0.87,3310,287
巴拉圭,641,94223,67242,1971,2.09,1367,689
阿尔及利亚,495,92597,60888,2609,2.82,220,4200
肯尼亚,163,92055,73452,1593,1.73,180,5095
利比亚,0,91357,61453,1314,1.44,1412,647
巴林,125,89268,87332,348,0.39,5722,156
马来西亚,0,84846,70597,419,0.49,264,3204
吉尔吉斯斯坦,236,77910,70867,1316,1.69,1270,613
爱尔兰,264,76449,23364,2126,2.78,1592,480
乌兹别克斯坦,147,75241,72522,612,0.81,232,3236
北马其顿,213,73851,50046,2147,2.91,-,-
尼日利亚,199,73374,66314,1197,1.63,37,19587
新加坡,0,58325,58210,29,0.05,1007,579
加纳,0,53014,51761,327,0.62,179,2946
阿尔巴尼亚,661,49191,24820,1016,2.07,1678,293
阿富汗,234,48952,38336,1995,4.08,134,3637
韩国,880,44364,32559,600,1.35,86,5116
卢森堡,1145,41900,33367,410,0.98,7101,59
萨尔瓦多,0,41880,38087,1205,2.88,653,641
黑山,377,41803,31138,585,1.40,6742,62
挪威,331,41334,17998,393,0.95,772,535
斯里兰卡,332,33478,24309,154,0.46,159,2095
芬兰,0,31110,20000,461,1.48,561,554
澳大利亚,9,28048,25689,908,3.24,113,2477
乌干达,234,27766,9921,224,0.81,62,4427
拉脱维亚,0,25885,16869,352,1.36,1348,192
喀麦隆,71,25214,23851,443,1.76,102,2467
科特迪瓦,25,21705,21318,133,0.61,87,2490
苏丹,205,21591,12452,1355,6.28,52,4151
爱沙尼亚,0,18385,11121,154,0.84,1414,130
赞比亚,0,18322,17409,367,2.00,104,1760
马达加斯加,0,17587,16992,259,1.47,66,2626
塞内加尔,0,17146,16159,350,2.04,105,1629
莫桑比克,48,17002,15006,143,0.84,55,3052
纳米比亚,0,16726,14837,163,0.97,648,258
安哥拉,89,16277,8924,372,2.29,52,3077
塞浦路斯,349,15450,2057,82,0.53,1309,118
刚果（金）,52,14513,12653,356,2.45,-,-
几内亚,26,13457,12713,80,0.59,103,1305
马尔代夫,11,13379,12731,48,0.36,3040,44
博茨瓦纳,372,12873,10456,38,0.30,552,233
塔吉克斯坦,0,12741,12172,88,0.69,140,910
牙买加,82,11792,8098,273,2.32,408,289
佛得角,4,11361,11036,110,0.97,2065,55
津巴布韦,112,11358,9554,309,2.72,67,1691
马耳他,0,11254,9319,174,1.55,2617,43
毛里塔尼亚,164,11135,8118,228,2.05,-,-
乌拉圭,321,10029,6593,95,0.95,289,346
海地,97,9588,8280,234,2.44,86,1111
古巴,69,9492,8484,137,1.44,82,1148
伯利兹,82,9377,4414,197,2.10,2467,38
加蓬,21,9351,9204,63,0.67,453,206
叙利亚,136,9302,4432,530,5.70,50,1828
巴哈马,0,7674,6070,163,2.12,1967,39
安道尔,44,7382,6706,79,1.07,10545,7
特立尼达和多巴哥,6,6885,6180,123,1.79,502,137
斯威士兰,57,6825,6416,130,1.90,491,139
卢旺达,88,6747,5996,56,0.83,53,1250
刚果（布）,151,6200,4988,100,1.61,-,-
马拉维,4,6070,5491,187,3.08,31,1916
圭亚那,23,5943,5077,156,2.62,761,78
尼加拉瓜,0,5887,4225,162,2.75,93,628
马里,22,5836,3630,201,3.44,30,1910
吉布提,5,5733,5622,61,1.06,591,97
冰岛,0,5564,5392,28,0.50,1686,33
