国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,246530,16295458,9507419,302750,1.86,4986,32676
印度,30006,9826775,9324328,142628,1.45,725,135405
巴西,54428,6836227,6078287,180437,2.64,3242,21086
俄罗斯,27729,2602048,2066710,45923,1.76,1807,14396
法国,13567,2405210,181581,57671,2.40,3687,6523
英国,21783,1814395,3799,63603,3.51,2725,6657
意大利,18726,1805873,1052163,63387,3.51,3045,5929
西班牙,7053,1741439,196958,47624,2.73,3753,4639
阿根廷,7112,1489328,1324792,40606,2.73,3333,4468
哥伦比亚,8998,1408909,1304299,38669,2.74,2848,4946
德国,27217,1314309,966238,21567,1.64,1597,8229
墨西哥,12253,1229379,904042,113019,9.19,940,13075
波兰,0,1115201,815356,22174,1.99,2927,3810
伊朗,0,1092407,787853,51727,4.74,1332,8201
秘鲁,0,979111,914600,36499,3.73,3008,3255
土耳其,32106,955766,452593,15751,1.65,1166,8191
乌克兰,13219,908839,513249,15528,1.71,2065,4400
南非,8319,845083,758373,22952,2.72,1472,5739
印度尼西亚,0,605243,496886,18511,3.06,226,26679
荷兰,141,604452,7747,10051,1.66,3538,1708
比利时,2762,603159,0,17792,2.95,5249,1149
捷克,6217,575422,503017,9450,1.64,-,-
伊拉克,0,572600,503897,12549,2.19,1455,3933
智利,0,567974,541345,15782,2.78,3122,1819
罗马尼亚,0,545567,443168,13116,2.40,2786,1958
孟加拉,0,487849,414318,6986,1.43,-,-
加拿大,6092,452543,367837,13267,2.93,1224,3695
菲律宾,1292,448331,409433,8730,1.95,420,10651
巴基斯坦,2729,435056,381208,8724,2.01,216,20081
摩洛哥,3035,394564,349821,6542,1.66,1090,3619
瑞士,0,373831,291500,5928,1.59,4377,854
沙特阿拉伯,0,359583,350108,6023,1.67,1071,3355
以色列,0,353269,333900,2969,0.84,4180,845
葡萄牙,0,340287,263648,5373,1.58,3306,1029
瑞典,0,320098,4917,7514,2.35,3207,998
奥地利,0,316581,273503,4289,1.35,3618,875
匈牙利,5047,276247,79769,6784,2.46,2853,968
塞尔维亚,0,255758,15913,2227,0.87,2919,876
约旦,2338,255459,209746,3286,1.29,2580,990
尼泊尔,0,246694,232872,1674,0.68,832,2962
厄瓜多尔,386,200765,174188,13858,6.90,1190,1686
巴拿马,2355,187779,159070,3309,1.76,4513,416
格鲁吉亚,3907,187006,154241,1744,0.93,4795,390
哈萨克斯坦,927,184557,156093,2551,1.38,1003,1840
阿联酋,0,182601,162435,607,0.33,1914,954
保加利亚,3097,177665,79522,5562,3.13,2527,703
日本,1381,177263,148067,2463,1.39,139,12718
日本本土,1381,176551,147368,2450,1.39,13,12718
克罗地亚,0,168388,140898,2484,1.48,4047,416
阿塞拜疆,0,167155,103550,1840,1.10,1685,992
白俄罗斯,0,156359,133930,1246,0.80,1654,945
