国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,173861,15159529,8855593,288906,1.91,4639,32676
印度,32981,9677203,9139901,140573,1.45,714,135405
巴西,26363,6603540,5866657,176941,2.68,3131,21086
俄罗斯,27798,2466961,1939393,43122,1.75,1713,14396
法国,11022,2345648,175220,55247,2.36,3595,6523
意大利,18887,1728878,913494,60078,3.47,2915,5929
英国,17371,1727755,3736,61342,3.55,2595,6657
西班牙,5554,1699145,196958,46252,2.72,3662,4639
阿根廷,3278,1463110,1294692,39770,2.72,3274,4468
哥伦比亚,8854,1371103,1257410,37808,2.76,2772,4946
德国,10910,1194550,868310,19002,1.59,1451,8229
墨西哥,7455,1175850,866186,109717,9.33,899,13075
波兰,4421,1067870,722446,20181,1.89,2802,3810
伊朗,10827,1051374,742955,50594,4.81,1282,8201
秘鲁,1224,973912,907654,36274,3.72,2992,3255
乌克兰,8985,843898,440899,14208,1.68,1917,4400
土耳其,30402,828295,431253,14900,1.80,1011,8191
南非,4116,814565,744780,22206,2.73,1419,5739
比利时,1814,591756,33687,17320,2.93,5150,1149
印度尼西亚,5754,581550,479202,17867,3.07,217,26679
荷兰,7202,573697,7300,9785,1.71,3358,1708
伊拉克,1815,566015,495725,12460,2.20,1439,3933
智利,0,560382,534789,15628,2.79,3080,1819
捷克,1109,546833,478094,8902,1.63,-,-
罗马尼亚,3660,517236,409121,12447,2.41,2641,1958
孟加拉,2198,479743,398623,6874,1.43,-,-
菲律宾,1565,441399,408702,8572,1.94,414,10651
巴基斯坦,3795,420294,356542,8398,2.00,209,20081
加拿大,6305,418848,334375,12688,3.03,1133,3695
摩洛哥,2919,379657,331301,6245,1.64,1049,3619
沙特阿拉伯,209,358922,349168,5977,1.67,1069,3355
瑞士,9809,354306,260600,5422,1.53,4148,854
以色列,1433,345661,329586,2917,0.84,4090,845
葡萄牙,0,322474,243055,4963,1.54,3133,1029
奥地利,2263,305693,256811,3897,1.27,3493,875
瑞典,0,278912,4917,7067,2.53,2794,998
匈牙利,3870,254148,74283,5984,2.35,2625,968
尼泊尔,1014,241995,227433,1614,0.67,816,2962
约旦,2576,240089,187444,3056,1.27,2425,990
塞尔维亚,0,219652,15913,2005,0.91,2507,876
厄瓜多尔,607,197998,174188,13778,6.96,1174,1686
哈萨克斯坦,745,180089,151755,2488,1.38,978,1840
巴拿马,1812,177719,152890,3193,1.80,4272,416
阿联酋,1148,177577,159711,594,0.33,1861,954
日本,1506,165113,137446,2311,1.40,129,12718
格鲁吉亚,2501,164976,137499,1540,0.93,4230,390
日本本土,1506,164401,136747,2298,1.40,12,12718
保加利亚,577,161421,62246,4797,2.97,2296,703
克罗地亚,1886,152239,127882,2233,1.47,3659,416
阿塞拜疆,3086,149765,90278,1675,1.12,1509,992
白俄罗斯,1796,148953,126084,1215,0.82,1576,945
多米尼加,798,148453,116873,2345,1.58,-,-
玻利维亚,68,145560,124799,8995,6.18,1298,1121
科威特,230,144599,140341,897,0.62,3451,419
哥斯达黎加,0,143685,95789,1773,1.23,2902,495
亚美尼亚,407,142344,117649,2344,1.65,4858,293
卡塔尔,0,139908,137276,239,0.17,5201,269
黎巴嫩,1236,137112,90229,1099,0.80,2251,609
危地马拉,0,125550,114315,4250,3.39,728,1724
阿曼,229,125115,116506,1452,1.16,2595,482
埃及,418,118432,103501,6771,5.72,119,9937
斯洛伐克,552,117283,84850,1018,0.87,2155,544
摩尔多瓦,808,116365,101244,2419,2.08,2880,404
希腊,903,115471,23074,3003,2.60,1036,1114
