国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,208790,14983425,8787738,287825,1.92,4585,32676
印度,36011,9644222,9100792,140182,1.45,712,135405
巴西,43209,6577177,5864838,176628,2.69,3119,21086
俄罗斯,28701,2439163,1920744,42675,1.75,1694,14396
法国,12923,2334626,174992,55073,2.36,3579,6523
英国,15578,1710384,3660,61111,3.57,2569,6657
意大利,21052,1709991,896308,59514,3.48,2884,5929
西班牙,5554,1699145,196958,46252,2.72,3662,4639
阿根廷,5201,1459832,1288785,39632,2.71,3267,4468
哥伦比亚,9642,1362249,1249702,37633,2.76,2754,4946
德国,23787,1183640,852628,18852,1.59,1438,8229
墨西哥,11625,1168395,859643,109456,9.37,893,13075
波兰,9176,1063449,706720,20089,1.89,2791,3810
伊朗,11561,1040547,730798,50310,4.83,1268,8201
秘鲁,0,970860,905696,36195,3.73,2982,3255
乌克兰,11928,834913,435575,14054,1.68,1897,4400
南非,4645,810449,744298,22067,2.72,1412,5739
土耳其,31896,797893,427242,14705,1.84,974,8191
比利时,2503,589942,33687,17254,2.92,5134,1149
印度尼西亚,6089,575796,474771,17740,3.08,215,26679
荷兰,6934,566495,7266,9768,1.72,3316,1708
伊拉克,1680,564200,493567,12432,2.20,1434,3933
智利,0,558668,533250,15592,2.79,3071,1819
捷克,3318,545724,476685,8838,1.62,-,-
罗马尼亚,5231,513576,405612,12320,2.40,2622,1958
孟加拉,1756,477545,395960,6838,1.43,-,-
菲律宾,1765,439834,408634,8554,1.94,412,10651
巴基斯坦,3308,416499,355012,8361,2.01,207,20081
加拿大,6354,412543,329676,12607,3.06,1116,3695
摩洛哥,4118,376738,327693,6184,1.64,1041,3619
沙特阿拉伯,187,358713,348879,5965,1.66,1069,3355
瑞士,0,344497,260600,5344,1.55,4033,854
以色列,2127,344228,327972,2916,0.85,4073,845
葡萄牙,6087,318640,240203,4876,1.53,3096,1029
奥地利,2741,303430,252765,3840,1.27,3467,875
瑞典,0,278912,4917,7067,2.53,2794,998
匈牙利,6697,250278,71682,5868,2.34,2585,968
尼泊尔,1096,240981,225805,1594,0.66,813,2962
约旦,0,237513,182463,3010,1.27,2399,990
塞尔维亚,0,213843,15913,1891,0.88,2441,876
厄瓜多尔,909,197391,169804,13756,6.97,1170,1686
哈萨克斯坦,966,179344,151134,2488,1.39,974,1840
阿联酋,1153,176429,159132,592,0.34,1849,954
巴拿马,2300,175907,151247,3173,1.80,4228,416
日本,2026,163608,135820,2270,1.39,128,12718
日本本土,2026,162896,135121,2257,1.39,12,12718
格鲁吉亚,4321,162475,133511,1504,0.93,4166,390
保加利亚,2037,160844,60673,4729,2.94,2287,703
克罗地亚,2899,150353,124439,2174,1.45,3614,416
多米尼加,975,147655,116329,2345,1.59,-,-
阿塞拜疆,4356,146679,88497,1632,1.11,1478,992
玻利维亚,167,145492,124596,8992,6.18,1297,1121
白俄罗斯,0,145279,122339,1198,0.82,1537,945
科威特,452,144369,140035,891,0.62,3445,419
哥斯达黎加,0,143685,95789,1773,1.23,2902,495
亚美尼亚,978,141937,116796,2326,1.64,4844,293
卡塔尔,125,139908,137276,239,0.17,5201,269
黎巴嫩,1581,135876,88096,1090,0.80,2231,609
危地马拉,0,125352,113870,4239,3.38,727,1724
阿曼,557,124886,116354,1444,1.16,2590,482
埃及,431,118014,103324,6750,5.72,118,9937
斯洛伐克,1269,116731,82666,996,0.85,2145,544
摩尔多瓦,1728,115557,99606,2403,2.08,2860,404
希腊,1383,114568,23074,2902,2.53,1028,1114
埃塞俄比亚,649,112740,79579,1745,1.55,105,10667
洪都拉斯,200,109960,49096,2941,2.67,1168,941
委内瑞拉,300,104177,98879,916,0.88,321,3238
突尼斯,1091,102991,76441,3526,3.42,884,1165
缅甸,0,98047,76382,2081,2.12,182,5385
巴勒斯坦,1940,98038,72773,828,0.84,1941,505
波黑,739,94507,58625,2952,3.12,2700,350
中国,145,94278,87893,4753,5.04,6.7,140005
丹麦,1746,91127,71394,885,0.97,1584,575
肯尼亚,735,87984,68532,1518,1.73,172,5095
巴林,132,87732,85876,341,0.39,5623,156
阿尔及利亚,772,87502,56617,2501,2.86,208,4200
巴拉圭,714,87213,61283,1833,2.10,1265,689
利比亚,1051,86580,56702,1231,1.42,1338,647
斯洛文尼亚,1030,85805,63580,1744,2.03,4125,208
吉尔吉斯斯坦,199,74973,66993,1295,1.73,1223,613
立陶宛,2219,74649,30390,626,0.84,2601,287
爱尔兰,457,73948,23364,2099,2.84,1540,480
乌兹别克斯坦,153,73904,71173,611,0.83,228,3236
马来西亚,1335,72694,61273,382,0.53,226,3204
尼日利亚,310,68937,64650,1180,1.71,35,19587
北马其顿,981,67311,42872,1901,2.82,-,-
新加坡,5,58260,58158,29,0.05,1006,579
加纳,102,52198,51019,325,0.62,177,2946
