国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,220298,16549366,9644325,305082,1.84,5064,32676
印度,30254,9857029,9357464,143019,1.45,727,135405
巴西,43900,6880127,6078287,181123,2.63,3262,21086
俄罗斯,27651,2629699,2086887,46404,1.76,1826,14396
法国,13947,2405255,181581,57671,2.40,3687,6523
英国,21555,1835952,3809,64123,3.49,2757,6657
意大利,19902,1825775,1076891,64036,3.51,3079,5929
西班牙,7053,1741439,196958,47624,2.73,3753,4639
阿根廷,5274,1494602,1330160,40668,2.72,3345,4468
哥伦比亚,8163,1417072,1310425,38866,2.74,2865,4946
德国,21792,1336101,976469,21921,1.64,1623,8229
墨西哥,12057,1241436,911965,113704,9.16,949,13075
波兰,8976,1135676,858895,22864,2.01,2980,3810
伊朗,7451,1108269,812270,52196,4.71,1351,8201
秘鲁,0,980943,916335,36544,3.73,3013,3255
土耳其,32106,955766,452593,15751,1.65,1166,8191
乌克兰,9605,918444,520912,15691,1.71,2087,4400
南非,7882,852965,760118,23106,2.71,1486,5739
荷兰,9979,623514,7838,10133,1.63,3650,1708
印度尼西亚,6189,617820,505836,18819,3.05,231,26679
比利时,2807,605966,33687,17902,2.95,5273,1149
捷克,3657,579079,504666,9535,1.65,-,-
伊拉克,1012,574634,507446,12579,2.19,1461,3933
智利,2138,571919,544832,15886,2.78,3144,1819
罗马尼亚,4435,556335,457360,13385,2.41,2841,1958
孟加拉,1355,490533,420896,7052,1.44,-,-
加拿大,5984,458527,373898,13367,2.92,1240,3695
菲律宾,1069,449400,418687,8733,1.94,421,10651
巴基斯坦,3369,438425,383000,8796,2.01,218,20081
摩洛哥,3033,397597,353098,6589,1.66,1098,3619
瑞士,0,373831,291500,5984,1.60,4377,854
沙特阿拉伯,139,359888,350549,6048,1.68,1072,3355
以色列,2981,356250,335820,2990,0.84,4215,845
葡萄牙,4413,344700,268453,5461,1.58,3349,1029
奥地利,2641,322463,281106,4473,1.39,3685,875
瑞典,0,320098,4917,7514,2.35,3207,998
匈牙利,4153,280400,80752,6965,2.48,2896,968
塞尔维亚,5679,261437,15913,2331,0.89,2984,876
约旦,1816,257275,213344,3335,1.30,2598,990
尼泊尔,830,248423,235731,1698,0.68,838,2962
厄瓜多尔,759,201524,174188,13874,6.88,1195,1686
巴拿马,2806,190585,160641,3331,1.75,4581,416
格鲁吉亚,2720,189726,158183,1790,0.94,4864,390
哈萨克斯坦,956,185513,156848,2552,1.38,1008,1840
阿联酋,0,183755,163048,609,0.33,1926,954
日本,2392,181311,149829,2493,1.37,142,12718
日本本土,2392,180599,149130,2480,1.37,14,12718
保加利亚,1287,178952,81757,5626,3.14,2545,703
克罗地亚,3363,175886,148211,2640,1.50,4228,416
阿塞拜疆,4451,175874,111918,1922,1.09,1772,992
白俄罗斯,1961,160295,138464,1263,0.79,1696,945
多米尼加,1133,153585,119616,2360,1.54,-,-
哥斯达黎加,0,150947,112622,1895,1.26,3049,495
亚美尼亚,1013,148325,125169,2486,1.68,5062,293
玻利维亚,333,147030,126092,9014,6.13,1311,1121
科威特,429,146218,142094,911,0.62,3489,419
黎巴嫩,1540,145245,98584,1190,0.82,2384,609
卡塔尔,134,140961,138490,240,0.17,5240,269
斯洛伐克,5897,132984,97068,1175,0.88,2444,544
危地马拉,558,129099,117615,4405,3.41,748,1724
阿曼,571,126240,118048,1471,1.17,2619,482
摩尔多瓦,1459,125723,107733,2547,2.03,3111,404
希腊,1194,123842,23074,3540,2.86,1111,1114
埃及,478,121089,104710,6898,5.70,121,9937
埃塞俄比亚,515,116297,92449,1803,1.55,109,10667
洪都拉斯,335,114043,51410,2974,2.61,1211,941
突尼斯,1289,110393,84218,3836,3.47,947,1165
丹麦,6197,110305,79918,941,0.85,1918,575
巴勒斯坦,1639,109738,85110,978,0.89,2173,505
缅甸,1127,108342,86795,2268,2.09,201,5385
委内瑞拉,462,107177,102289,949,0.89,330,3238
波黑,1574,101117,65758,3336,3.30,2889,350
斯洛文尼亚,833,96314,73377,2063,2.14,4630,208
中国,104,95048,88638,4757,5.00,6.8,140005
立陶宛,2849,93101,38893,815,0.88,3243,287
巴拉圭,800,92913,65852,1937,2.08,1348,689
阿尔及利亚,517,91638,60028,2584,2.82,218,4200
肯尼亚,548,91526,72596,1586,1.73,179,5095
利比亚,899,90779,60895,1299,1.43,1403,647
巴林,145,88965,87025,348,0.39,5702,156
马来西亚,1229,83475,69393,415,0.50,260,3204
吉尔吉斯斯坦,297,77356,70192,1307,1.69,1261,613
爱尔兰,249,75756,23364,2123,2.80,1578,480
乌兹别克斯坦,145,74956,72243,612,0.82,231,3236
北马其顿,981,73025,48726,2096,2.87,-,-
尼日利亚,617,72757,65850,1194,1.64,37,19587
新加坡,7,58320,58197,29,0.05,1007,579
加纳,195,52933,51676,327,0.62,179,2946
阿富汗,298,48527,38250,1965,4.05,133,3637
阿尔巴尼亚,879,47742,24520,989,2.07,1629,293
韩国,1030,42766,31814,580,1.36,83,5116
萨尔瓦多,231,41394,37667,1200,2.90,645,641
黑山,402,40948,29614,578,1.41,6604,62
挪威,364,40803,17998,387,0.95,762,535
卢森堡,0,40755,31678,392,0.96,6907,59
斯里兰卡,643,32650,23793,149,0.46,155,2095
芬兰,360,30810,20000,453,1.47,556,554
澳大利亚,6,28031,25675,908,3.24,113,2477
乌干达,1163,27532,9826,221,0.80,62,4427
拉脱维亚,629,25675,1866,349,1.36,1337,192
喀麦隆,56,25143,23851,443,1.76,101,2467
科特迪瓦,21,21639,21261,133,0.61,86,2490
苏丹,303,21147,12227,1344,6.36,50,4151
赞比亚,57,18274,17388,367,2.01,103,1760
爱沙尼亚,342,18055,11037,149,0.83,1388,130
马达加斯加,0,17587,16992,259,1.47,66,2626
塞内加尔,14,17075,16094,349,2.04,104,1629
莫桑比克,132,16812,14795,140,0.83,55,3052
纳米比亚,0,16269,14582,160,0.98,630,258
安哥拉,100,16161,8841,366,2.26,52,3077
塞浦路斯,1151,14800,2057,77,0.52,1254,118
刚果（金）,0,14342,12465,352,2.45,-,-
几内亚,22,13420,12657,79,0.59,102,1305
马尔代夫,22,13348,12659,48,0.36,3033,44
塔吉克斯坦,80,12704,12133,88,0.69,139,910
博茨瓦纳,0,12501,9940,37,0.30,536,233
牙买加,99,11608,7799,271,2.33,401,289
佛得角,40,11302,10922,110,0.97,2054,55
津巴布韦,57,11219,9359,307,2.74,66,1691
马耳他,52,11153,9169,169,1.52,2593,43
毛里塔尼亚,279,10780,8022,222,2.06,-,-
海地,26,9491,8241,233,2.45,85,1111
古巴,87,9354,8371,137,1.46,81,1148
加蓬,0,9330,9182,63,0.68,452,206
乌拉圭,331,9180,6155,91,0.99,265,346
伯利兹,208,9173,4279,192,2.09,2413,38
叙利亚,130,9041,4319,506,5.60,49,1828
巴哈马,36,7659,6069,163,2.13,1963,39
安道尔,52,7288,6629,78,1.07,10411,7
特立尼达和多巴哥,12,6864,6126,122,1.78,501,137
斯威士兰,29,6714,6331,127,1.89,483,139
卢旺达,100,6528,5892,56,0.86,52,1250
马拉维,8,6063,5491,186,3.07,31,1916
刚果（布）,0,6049,4988,99,1.64,-,-
尼加拉瓜,0,5887,4225,162,2.75,93,628
圭亚那,40,5879,5044,154,2.62,753,78
吉布提,0,5725,5612,61,1.07,590,97
马里,72,5721,3566,189,3.30,29,1910
冰岛,5,5557,5366,28,0.50,1683,33
苏里南,1,5340,5221,117,2.19,953,56
赤道几内亚,0,5185,5058,85,1.64,395,131
中非共和国,0,4936,1924,63,1.28,104,473
索马里,0,4579,3529,121,2.64,30,1518
泰国,17,4209,3923,60,1.43,6.1,6918
布基纳法索,315,3894,2858,71,1.82,19,1975
冈比亚,0,3779,3645,123,3.25,174,216
多哥,19,3221,2745,66,2.05,40,799
贝宁,0,3090,2972,44,1.42,26,1148
几内亚比绍,0,2444,2337,44,1.80,128,190
塞拉利昂,2,2440,1850,75,3.07,31,771
莱索托,0,2250,1319,44,1.96,99,226
尼日尔,39,2199,1276,80,3.64,9.9,2231
新西兰,4,2096,2015,25,1.19,44,474
也门,1,2083,1383,606,29.09,7.2,2891
圣马力诺,0,1932,1575,51,2.64,6440,3
乍得,6,1751,1603,102,5.83,11,1535
利比里亚,0,1676,1358,83,4.95,34,485
列支敦士登公国,32,1514,1296,20,1.32,-,-
越南,2,1397,1241,35,2.51,1.4,9649
蒙古,1,907,384,0,-,29,312
布隆迪,5,728,640,1,0.14,6.5,1121
巴布亚新几内亚,0,720,601,8,1.11,8.6,841
钻石号邮轮,0,712,699,13,1.83,-,0.37
厄立特里亚,55,711,564,0,-,13,518
摩纳哥,9,668,596,3,0.45,2226,3
科摩罗,11,628,606,7,1.11,75,83
毛里求斯,0,515,478,10,1.94,40,126
坦桑尼亚,0,509,183,21,4.13,0.86,5909
不丹,1,437,400,0,-,53,81
柬埔寨,2,359,307,0,-,2.2,1624
巴巴多斯,0,292,269,7,2.40,104,28
圣卢西亚,0,274,197,4,1.46,-,-
塞舌尔,0,187,182,0,-,207,9
文莱,0,152,147,3,1.97,35,43
安提瓜和巴布达,1,148,138,4,2.70,148,10
圣文森特和格林纳丁斯,0,94,81,0,-,85,11
多米尼克,0,87,81,0,-,124,7
斐济,0,44,35,2,4.55,4.8,91
格林纳达,0,43,41,0,-,43,10
老挝,0,41,33,0,-,0.59,696
马提尼克岛,0,37,0,1,2.70,-,-
东帝汶,0,31,30,0,-,2.3,132
梵蒂冈,0,27,15,0,-,-,-
圣基茨和尼维斯,0,27,23,0,-,54,5
所罗门群岛,0,17,5,0,-,2.7,62
马绍尔群岛,0,4,4,0,-,8.0,5
瓦努阿图,0,1,1,0,-,0.36,28
