国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,246996,17392618,10170735,314577,1.81,5322,32676
印度,24010,9956557,9489740,144451,1.45,735,135405
巴西,70574,7040608,6239192,183735,2.61,3338,21086
俄罗斯,27787,2736727,2181696,48568,1.77,1901,14396
法国,17788,2465246,186004,59472,2.41,3779,6523
土耳其,29718,1928165,1691113,17121,0.89,2354,8191
英国,25321,1918768,4111,65618,3.42,2882,6657
意大利,17568,1888144,1175901,66537,3.52,3184,5929
西班牙,11078,1782566,196958,48596,2.73,3842,4639
阿根廷,6843,1517046,1347914,41365,2.73,3395,4468
哥伦比亚,11953,1456599,1336166,39560,2.72,2945,4946
德国,32989,1424624,1056512,24368,1.71,1731,8229
墨西哥,10297,1277499,945673,115769,9.06,977,13075
波兰,11953,1171854,903349,24345,2.08,3075,3810
伊朗,7453,1138530,856513,53095,4.66,1388,8201
秘鲁,0,986130,924120,36754,3.73,3029,3255
乌克兰,12474,957692,569200,16579,1.73,2176,4400
南非,10008,883687,774585,23827,2.70,1539,5739
荷兰,102,650072,8152,10333,1.59,3806,1708
印度尼西亚,7354,643508,526979,19390,3.01,241,26679
比利时,3636,615058,33687,18278,2.97,5352,1149
捷克,8256,602404,522649,10036,1.67,-,-
伊拉克,1533,580449,515321,12650,2.18,1475,3933
罗马尼亚,5697,577446,477139,13969,2.42,2949,1958
智利,0,576731,549852,15959,2.77,3170,1819
孟加拉,1134,496975,431590,7192,1.45,-,-
加拿大,6399,485576,397217,13815,2.85,1314,3695
菲律宾,1459,454447,419902,8850,1.95,426,10651
巴基斯坦,2545,448522,396591,9080,2.02,223,20081
摩洛哥,3351,406970,366835,6749,1.66,1124,3619
瑞士,5058,399511,311500,6447,1.61,4678,854
以色列,3325,366612,341744,3040,0.83,4338,845
沙特阿拉伯,181,360516,351365,6091,1.69,1074,3355
葡萄牙,0,358296,283719,5815,1.62,3481,1029
瑞典,8881,357466,4917,7893,2.21,3581,998
奥地利,2485,332828,294315,4982,1.50,3803,875
匈牙利,2982,291549,86954,7538,2.59,3011,968
塞尔维亚,0,282601,15913,2482,0.88,3226,876
约旦,0,267585,230274,3465,1.29,2702,990
尼泊尔,776,251692,240363,1749,0.69,849,2962
厄瓜多尔,1105,203461,177951,13915,6.84,1206,1686
格鲁吉亚,2981,201368,169282,1953,0.97,5163,390
巴拿马,2960,199947,166600,3439,1.72,4806,416
日本,3209,191625,158813,2673,1.39,150,12718
阿塞拜疆,4124,191460,127064,2088,1.09,1930,992
日本本土,3209,190913,158114,2660,1.39,15,12718
哈萨克斯坦,947,188837,160889,2613,1.38,1026,1840
阿联酋,0,188545,165749,626,0.33,1976,954
克罗地亚,3918,186963,161563,2955,1.58,4494,416
保加利亚,1959,186246,90510,6196,3.33,2649,703
白俄罗斯,1834,167731,145397,1299,0.77,1774,945
多米尼加,0,156585,121988,2372,1.51,-,-
哥斯达黎加,1167,155263,122947,1967,1.27,3136,495
亚美尼亚,1174,151392,129990,2581,1.70,5166,293
黎巴嫩,2056,150933,104207,1234,0.82,2478,609
玻利维亚,498,148214,126950,9029,6.09,1322,1121
科威特,221,147192,143113,913,0.62,3512,419
斯洛伐克,3045,142133,102737,1378,0.97,2612,544
卡塔尔,140,141557,139243,242,0.17,5262,269
危地马拉,0,130828,119288,4510,3.45,758,1724
摩尔多瓦,1673,130329,112677,2650,2.03,3225,404
希腊,1185,127557,23074,3870,3.03,1145,1114
阿曼,184,127019,119009,1483,1.17,2635,482
丹麦,4038,124366,86192,992,0.80,2162,575
埃及,544,123153,105719,6990,5.68,123,9937
埃塞俄比亚,464,118006,97969,1818,1.54,110,10667
巴勒斯坦,2149,117755,92979,1078,0.92,2331,505
洪都拉斯,374,115317,52945,3013,2.61,1225,941
突尼斯,1306,114547,87884,3997,3.49,983,1165
缅甸,2415,113082,91537,2377,2.10,209,5385
委内瑞拉,237,108717,103492,970,0.89,335,3238
波黑,0,103232,68245,3511,3.40,2949,350
立陶宛,3159,103028,45113,933,0.91,3589,287
斯洛文尼亚,1654,102043,79193,2233,2.19,4905,208
巴拉圭,856,96209,68658,2014,2.09,1396,689
中国,104,95479,89037,4765,4.99,6.8,140005
阿尔及利亚,442,93507,61700,2631,2.81,222,4200
