国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
肯尼亚,552,93405,74999,1618,1.73,183,5095
利比亚,706,93283,63231,1337,1.43,1441,647
巴林,156,89600,87690,349,0.39,5743,156
马来西亚,1220,89133,74030,432,0.48,278,3204
吉尔吉斯斯坦,264,78415,71656,1321,1.68,1279,613
爱尔兰,421,77197,23364,2140,2.77,1608,480
北马其顿,865,75597,51493,2194,2.90,-,-
乌兹别克斯坦,142,75538,72810,612,0.81,233,3236
尼日利亚,930,75062,66775,1200,1.60,38,19587
新加坡,24,58377,58238,29,0.05,1008,579
加纳,0,53386,52048,327,0.61,181,2946
阿尔巴尼亚,637,50637,26381,1040,2.05,1728,293
阿富汗,217,49378,38505,2025,4.10,135,3637
韩国,1011,46453,33610,634,1.36,90,5116
卢森堡,595,42845,33920,421,0.98,7261,59
黑山,415,42563,32550,610,1.43,6865,62
萨尔瓦多,0,42397,38481,1227,2.89,661,641
挪威,235,42312,17998,402,0.95,790,535
斯里兰卡,290,34737,26353,160,0.46,165,2095
芬兰,358,32228,22500,484,1.50,581,554
乌干达,0,28733,10070,225,0.78,64,4427
拉脱维亚,1040,28535,19072,394,1.38,1486,192
澳大利亚,13,28072,25695,908,3.23,113,2477
喀麦隆,113,25472,23851,445,1.75,103,2467
苏丹,401,22265,12873,1408,6.32,53,4151
科特迪瓦,-34,21741,21364,133,0.61,87,2490
爱沙尼亚,733,20004,12533,164,0.82,1538,130
赞比亚,76,18504,17680,369,1.99,105,1760
纳米比亚,331,17607,15373,164,0.93,682,258
马达加斯加,0,17587,16992,259,1.47,66,2626
塞内加尔,115,17451,16384,355,2.03,107,1629
莫桑比克,101,17143,15241,145,0.85,56,3052
安哥拉,45,16407,9194,379,2.31,53,3077
塞浦路斯,401,16190,2057,85,0.53,1372,118
刚果（金）,492,15089,13010,366,2.43,-,-
几内亚,11,13485,12773,80,0.59,103,1305
马尔代夫,10,13402,12786,48,0.36,3045,44
博茨瓦纳,0,12873,10456,38,0.30,552,233
塔吉克斯坦,0,12815,12253,89,0.69,140,910
牙买加,0,11907,8371,276,2.32,412,289
津巴布韦,227,11749,9702,313,2.66,69,1691
毛里塔尼亚,198,11629,8281,244,2.10,-,-
马耳他,60,11475,9670,182,1.59,2668,43
佛得角,63,11458,11106,110,0.96,2083,55
乌拉圭,475,10893,7142,102,0.94,314,346
伯利兹,161,9672,4628,212,2.19,2545,38
古巴,83,9671,8658,137,1.42,84,1148
叙利亚,151,9603,4548,554,5.77,52,1828
海地,0,9597,8280,234,2.44,86,1111
加蓬,22,9373,9223,63,0.67,455,206
巴哈马,16,7714,6087,164,2.13,1977,39
安道尔,64,7446,6819,79,1.06,10637,7
斯威士兰,114,7026,6531,135,1.92,505,139
卢旺达,122,6954,6057,57,0.82,55,1250
特立尼达和多巴哥,17,6917,6230,123,1.78,504,137
刚果（布）,0,6200,4988,100,1.61,-,-
马拉维,11,6091,5661,187,3.07,31,1916
圭亚那,43,6016,5185,158,2.63,771,78
马里,91,5969,3702,209,3.50,31,1910
尼加拉瓜,51,5938,4225,163,2.75,94,628
吉布提,0,5759,5628,61,1.06,593,97
冰岛,10,5588,5423,28,0.50,1693,33
苏里南,20,5401,5239,117,2.17,964,56
赤道几内亚,19,5214,5064,85,1.63,398,131
中非共和国,0,4936,1924,63,1.28,104,473
索马里,83,4662,3566,124,2.66,30,1518
布基纳法索,149,4449,3088,73,1.64,22,1975
泰国,20,4281,3989,60,1.40,6.2,6918
冈比亚,1,3786,3653,123,3.25,175,216
多哥,20,3315,2852,66,1.99,41,799
贝宁,62,3152,2972,44,1.40,27,1148
塞拉利昂,9,2460,1854,75,3.05,31,771
几内亚比绍,0,2447,2378,44,1.80,128,190
莱索托,58,2365,1423,46,1.95,104,226
尼日尔,0,2361,1329,82,3.47,10,2231
新西兰,0,2100,2032,25,1.19,44,474
也门,0,2085,1384,606,29.06,7.2,2891
圣马力诺,67,2049,1703,54,2.64,6830,3
乍得,16,1800,1620,102,5.67,11,1535
利比里亚,0,1773,1406,83,4.68,36,485
列支敦士登公国,35,1635,1395,21,1.28,-,-
越南,2,1407,1263,35,2.49,1.5,9649
蒙古,5,923,384,0,-,29,312
巴布亚新几内亚,31,760,601,8,1.05,9.0,841
布隆迪,6,741,640,1,0.13,6.6,1121
钻石号邮轮,0,712,699,13,1.83,-,0.37
厄立特里亚,0,711,564,0,-,13,518
摩纳哥,7,685,611,3,0.44,2283,3
科摩罗,0,633,606,7,1.11,76,83
毛里求斯,0,524,489,10,1.91,41,126
坦桑尼亚,0,509,183,21,4.13,0.86,5909
不丹,1,440,409,0,-,54,81
柬埔寨,0,362,324,0,-,2.2,1624
巴巴多斯,4,301,274,7,2.33,107,28
圣卢西亚,0,278,246,4,1.44,-,-
塞舌尔,0,202,184,0,-,224,9
文莱,0,152,148,3,1.97,35,43
安提瓜和巴布达,3,151,141,5,3.31,151,10
圣文森特和格林纳丁斯,2,100,82,0,-,90,11
多米尼克,0,88,83,0,-,125,7
格林纳达,0,85,41,0,-,85,10
斐济,0,46,38,2,4.35,5.1,91
老挝,0,41,36,0,-,0.59,696
马提尼克岛,0,37,0,1,2.70,-,-
东帝汶,0,31,30,0,-,2.3,132
圣基茨和尼维斯,0,28,23,0,-,56,5
梵蒂冈,0,27,15,0,-,-,-
所罗门群岛,0,17,5,0,-,2.7,62
马绍尔群岛,0,4,4,0,-,8.0,5
瓦努阿图,0,1,1,0,-,0.36,28
