国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,203427,14313941,8462347,279865,1.96,4380,32676
印度,35551,9534964,8973373,138648,1.45,704,135405
巴西,49863,6436650,5759294,174515,2.71,3052,21086
俄罗斯,27829,2354934,1843526,41173,1.75,1635,14396
法国,14064,2275520,167915,52821,2.32,3488,6523
西班牙,9331,1682533,196958,45784,2.72,3626,4639
英国,16233,1663468,3615,59796,3.59,2498,6657
意大利,20709,1641610,823335,57045,3.47,2768,5929
阿根廷,7533,1440103,1268358,39156,2.72,3223,4468
哥伦比亚,9297,1334089,1225635,37117,2.78,2697,4946
墨西哥,11251,1133613,836567,107565,9.49,867,13075
德国,21135,1117953,791371,17693,1.58,1358,8229
波兰,14863,1028610,646560,18828,1.83,2699,3810
伊朗,0,989572,688054,48990,4.95,1206,8201
秘鲁,0,963605,899213,35966,3.73,2960,3255
南非,4173,796472,734305,21709,2.73,1387,5739
乌克兰,14812,793372,400751,13394,1.69,1803,4400
土耳其,31923,700880,414141,14129,2.02,855,8191
比利时,3040,582252,33687,16911,2.90,5067,1149
印度尼西亚,8369,557877,462553,17355,3.11,209,26679
伊拉克,1961,556728,486313,12340,2.22,1415,3933
智利,0,553898,529501,15438,2.79,3045,1819
荷兰,208,541258,7069,9584,1.77,3168,1708
捷克,4568,533042,461599,8515,1.60,-,-
罗马尼亚,0,484550,371231,11665,2.41,2474,1958
孟加拉,2316,471739,388379,6748,1.43,-,-
菲律宾,1056,435413,399325,8446,1.94,408,10651
巴基斯坦,3499,406810,346951,8205,2.02,202,20081
加拿大,6413,393506,314529,12342,3.14,1064,3695
摩洛哥,4346,364190,314237,5985,1.64,1006,3619
沙特阿拉伯,0,357872,347513,5919,1.65,1066,3355
以色列,1676,340424,325874,2890,0.85,4028,845
瑞士,0,335660,257600,5111,1.52,3930,854
葡萄牙,3384,303846,223446,4645,1.53,2952,1029
奥地利,3969,293430,238127,3538,1.21,3353,875
瑞典,0,266158,4917,6972,2.62,2666,998
尼泊尔,1343,237589,220272,1551,0.65,802,2962
匈牙利,6635,231844,67033,5324,2.30,2395,968
约旦,0,227208,168429,2854,1.26,2295,990
厄瓜多尔,1203,194876,169804,13562,6.96,1155,1686
塞尔维亚,0,191356,15913,1704,0.89,2184,876
哈萨克斯坦,777,176342,148732,2436,1.38,958,1840
阿联酋,1317,172751,157035,585,0.34,1810,954
巴拿马,2028,169339,146576,3114,1.84,4070,416
日本,2508,156623,127807,2176,1.39,123,12718
日本本土,2508,155911,127148,2163,1.39,12,12718
保加利亚,3138,151913,55206,4347,2.86,2160,703
格鲁吉亚,4260,147636,124568,1387,0.94,3785,390
多米尼加,895,145197,115611,2334,1.61,-,-
玻利维亚,184,144994,123673,8972,6.19,1293,1121
科威特,0,143260,138134,882,0.62,3419,419
哥斯达黎加,1168,141340,88226,1739,1.23,2855,495
白俄罗斯,0,139908,117195,1174,0.84,1480,945
卡塔尔,221,139477,136741,239,0.17,5185,269
克罗地亚,4534,139415,113509,1964,1.41,3351,416
亚美尼亚,1277,138508,113228,2254,1.63,4727,293
黎巴嫩,1842,131297,83034,1055,0.80,2155,609
阿塞拜疆,0,129544,79162,1470,1.13,1305,992
阿曼,184,124329,115866,1435,1.15,2579,482
危地马拉,0,123460,112181,4191,3.39,716,1724
埃及,421,116724,102949,6694,5.73,117,9937
斯洛伐克,1982,111208,74273,930,0.84,2044,544
埃塞俄比亚,430,110984,76067,1715,1.55,104,10667
摩尔多瓦,1717,110580,96711,2343,2.12,2737,404
希腊,2185,109655,23074,2606,2.38,984,1114
洪都拉斯,891,109144,48877,2930,2.68,1159,941
委内瑞拉,446,103067,98030,905,0.88,318,3238
突尼斯,1208,99280,73607,3359,3.38,852,1165
中国,131,93889,87707,4751,5.06,6.7,140005
缅甸,0,93600,72601,1998,2.13,173,5385
波黑,0,90378,54967,2773,3.07,2582,350
巴勒斯坦,0,90192,66989,763,0.85,1785,505
巴林,133,87270,85463,341,0.39,5594,156
肯尼亚,961,85130,56464,1484,1.74,167,5095
阿尔及利亚,932,85084,54990,2464,2.90,202,4200
利比亚,762,84849,55304,1212,1.43,1311,647
巴拉圭,1003,84482,59465,1783,2.11,1226,689
丹麦,0,84056,66604,852,1.01,1461,575
斯洛文尼亚,1775,81338,59469,1592,1.96,3910,208
吉尔吉斯斯坦,420,73933,65589,1281,1.73,1206,613
乌兹别克斯坦,96,73431,70712,611,0.83,226,3236
爱尔兰,268,73066,23364,2074,2.84,1522,480
马来西亚,1075,69095,57917,376,0.54,215,3204
尼日利亚,122,67960,63839,1177,1.73,34,19587
北马其顿,945,63890,40977,1825,2.86,-,-
立陶宛,0,62515,15077,519,0.83,2178,287
新加坡,9,58239,58144,29,0.05,1005,579
加纳,0,51667,50547,323,0.63,175,2946
阿富汗,0,46980,37026,1822,3.88,129,3637
阿尔巴尼亚,705,39719,19912,839,2.11,1355,293
萨尔瓦多,0,39130,35839,1134,2.90,610,641
挪威,378,36969,17998,351,0.95,691,535
黑山,502,36351,25409,510,1.40,5863,62
卢森堡,673,35802,26497,334,0.93,6068,59
韩国,540,35703,28352,529,1.48,69,5116
澳大利亚,16,27939,25618,908,3.25,112,2477
芬兰,540,26422,18100,408,1.54,476,554
斯里兰卡,528,25410,19032,124,0.49,121,2095
喀麦隆,0,24487,22177,441,1.80,99,2467
乌干达,374,21409,9044,206,0.96,48,4427
科特迪瓦,27,21361,21010,132,0.62,85,2490
拉脱维亚,0,18377,1823,224,1.22,957,192
苏丹,209,18254,10493,1265,6.93,43,4151
赞比亚,0,17700,17086,357,2.02,100,1760
马达加斯加,0,17341,16657,251,1.45,66,2626
塞内加尔,0,16173,15697,335,2.07,99,1629
莫桑比克,96,15866,14014,132,0.83,51,3052
