国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,208121,15591709,9087069,293398,1.88,4771,32676
印度,32080,9735850,9215581,141360,1.45,719,135405
巴西,51088,6674999,5965492,178159,2.67,3165,21086
俄罗斯,25838,2518551,1989710,44220,1.76,1749,14396
法国,14138,2363197,177558,56453,2.39,3622,6523
意大利,14837,1757394,958629,61240,3.48,2964,5929
英国,12383,1754911,3765,62130,3.54,2636,6657
西班牙,6255,1715700,196958,46646,2.72,3698,4639
阿根廷,3610,1469919,1305587,40009,2.72,3289,4468
哥伦比亚,7510,1384610,1278326,38158,2.76,2799,4946
德国,19788,1229269,909058,20041,1.63,1493,8229
墨西哥,11006,1193255,881050,110874,9.29,912,13075
波兰,12166,1088346,768241,21160,1.94,2856,3810
伊朗,10223,1072620,765639,51212,4.77,1307,8201
秘鲁,2709,976621,911113,36401,3.73,3000,3255
土耳其,33198,893630,441515,15314,1.71,1090,8191
乌克兰,12937,867991,469200,14702,1.69,1972,4400
南非,4011,821889,753072,22432,2.73,1432,5739
比利时,1957,594572,33687,17507,2.94,5174,1149
印度尼西亚,6058,592900,487445,18171,3.06,222,26679
荷兰,96,579997,7413,9857,1.70,3395,1708
伊拉克,0,568138,498064,12477,2.20,1444,3933
智利,0,563534,537727,15680,2.78,3098,1819
捷克,5857,556927,489759,9136,1.64,-,-
罗马尼亚,7365,532040,425816,12821,2.41,2717,1958
孟加拉,2159,484104,405966,6930,1.43,-,-
菲律宾,1379,444164,408942,8677,1.95,417,10651
加拿大,6114,432743,349629,12887,2.98,1171,3695
巴基斯坦,2963,426142,372271,8547,2.01,212,20081
摩洛哥,2900,384088,337719,6370,1.66,1061,3619
瑞士,5086,363654,283000,5618,1.54,4258,854
沙特阿拉伯,0,359115,349414,5989,1.67,1070,3355
以色列,1527,349024,331285,2933,0.84,4130,845
葡萄牙,0,327976,252428,5122,1.56,3187,1029
奥地利,2932,311002,265815,4056,1.30,3554,875
瑞典,0,297732,4917,7200,2.42,2983,998
匈牙利,3221,259588,76270,6280,2.42,2681,968
约旦,3062,247131,197058,3162,1.28,2496,990
尼泊尔,1056,244433,230537,1651,0.68,825,2962
塞尔维亚,0,234027,15913,2062,0.88,2671,876
厄瓜多尔,508,198752,174188,13794,6.94,1178,1686
哈萨克斯坦,944,181721,153432,2544,1.40,987,1840
巴拿马,1936,181166,155870,3241,1.79,4354,416
阿联酋,1313,180150,161084,598,0.33,1888,954
