国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,217779,16039393,9330865,299692,1.87,4908,32676
印度,29398,9796769,9290834,142186,1.45,723,135405
巴西,53347,6781799,6043219,179765,2.65,3216,21086
俄罗斯,28206,2574319,2041006,45370,1.76,1788,14396
法国,13732,2391643,180348,57044,2.39,3666,6523
英国,21057,1792612,3794,63179,3.52,2692,6657
意大利,16998,1787147,1027994,62626,3.50,3014,5929
西班牙,4595,1734386,196958,47344,2.73,3738,4639
阿根廷,6994,1482216,1318187,40431,2.73,3317,4468
哥伦比亚,7778,1399911,1296420,38484,2.75,2830,4946
德国,28823,1287092,949923,21086,1.64,1564,8229
墨西哥,11897,1217126,896130,112326,9.23,930,13075
波兰,13105,1115201,815356,22174,1.99,2927,3810
伊朗,9384,1092407,787853,51727,4.74,1332,8201
秘鲁,2490,979111,914600,36499,3.73,3008,3255
土耳其,30424,955766,452593,15751,1.65,1166,8191
乌克兰,13893,895620,499182,15278,1.71,2035,4400
南非,8166,836764,756671,22747,2.72,1458,5739
印度尼西亚,6310,605243,496886,18511,3.06,226,26679
比利时,2754,600397,33687,17692,2.95,5225,1149
荷兰,110,595473,7651,10049,1.69,3486,1708
伊拉克,1347,572600,503897,12549,2.19,1455,3933
捷克,5872,569205,497828,9341,1.64,-,-
智利,0,566440,540288,15774,2.78,3114,1819
罗马尼亚,6460,545567,443168,13116,2.40,2786,1958
孟加拉,1884,487849,414318,6986,1.43,-,-
菲律宾,1499,447039,409329,8709,1.95,419,10651
加拿大,6066,445828,361020,13130,2.95,1206,3695
巴基斯坦,3047,432327,379092,8653,2.00,215,20081
摩洛哥,3345,391529,345934,6492,1.66,1081,3619
瑞士,5136,373831,288400,5867,1.57,4377,854
沙特阿拉伯,141,359415,349872,6012,1.67,1071,3355
以色列,1389,352968,333701,2969,0.84,4177,845
葡萄牙,3134,335207,259548,5278,1.57,3257,1029
瑞典,7370,320098,0,7514,2.35,3207,998
奥地利,2893,316581,273503,4289,1.35,3618,875
匈牙利,6197,271200,78700,6622,2.44,2801,968
约旦,2902,253121,206638,3250,1.28,2556,990
塞尔维亚,0,249224,15913,2172,0.87,2845,876
尼泊尔,1044,246694,232872,1674,0.68,832,2962
厄瓜多尔,1151,200379,174188,13850,6.91,1188,1686
巴拿马,2447,185424,157888,3287,1.77,4457,416
哈萨克斯坦,973,183630,155338,2550,1.39,997,1840
格鲁吉亚,4146,183099,150461,1694,0.93,4694,390
阿联酋,1196,182601,162435,607,0.33,1914,954
日本,2561,175649,145557,2451,1.40,138,12718
日本本土,2561,174937,144858,2438,1.39,13,12718
保加利亚,3075,174568,75232,5405,3.10,2483,703
克罗地亚,4396,168388,140898,2484,1.48,4047,416
阿塞拜疆,0,162774,99892,1793,1.10,1640,992
白俄罗斯,0,154392,132085,1238,0.80,1633,945
多米尼加,1560,151721,118770,2358,1.55,-,-
哥斯达黎加,1127,149815,109855,1882,1.26,3026,495
玻利维亚,325,146385,125716,9008,6.15,1305,1121
亚美尼亚,1077,146317,123474,2445,1.67,4993,293
科威特,291,145495,141259,910,0.63,3472,419
黎巴嫩,1778,142187,95737,1170,0.82,2334,609
卡塔尔,164,140680,138194,240,0.17,5229,269
危地马拉,659,127786,116442,4345,3.40,741,1724
斯洛伐克,2166,127087,93533,1122,0.88,2336,544
阿曼,0,125669,117327,1463,1.16,2607,482
摩尔多瓦,1715,122685,105238,2500,2.04,3036,404
希腊,1533,121253,23074,3370,2.78,1088,1114
埃及,445,120147,104281,6854,5.70,120,9937
埃塞俄比亚,526,115360,88975,1779,1.54,108,10667
洪都拉斯,415,113207,50948,2968,2.62,1203,941
突尼斯,958,107814,82193,3758,3.49,925,1165
巴勒斯坦,1743,106622,81166,931,0.87,2111,505
委内瑞拉,428,106280,101384,938,0.88,328,3238
缅甸,0,104487,82813,2201,2.11,194,5385
丹麦,0,101027,77448,927,0.92,1756,575
波黑,1286,98603,62592,3199,3.24,2817,350
中国,133,94837,88399,4755,5.01,6.8,140005
斯洛文尼亚,1812,93734,70733,1998,2.13,4506,208
巴拉圭,812,90958,64527,1914,2.10,1320,689
阿尔及利亚,565,90579,59135,2564,2.83,215,4200
肯尼亚,644,90305,71254,1568,1.74,177,5095
利比亚,697,89880,59839,1278,1.42,1389,647
巴林,137,88632,86684,347,0.39,5681,156
立陶宛,3066,86949,36168,764,0.88,3029,287
马来西亚,1810,80309,67173,402,0.50,250,3204
吉尔吉斯斯坦,327,76718,69341,1307,1.70,1251,613
爱尔兰,303,75203,23364,2117,2.82,1566,480
乌兹别克斯坦,166,74664,71921,611,0.82,230,3236
尼日利亚,675,71344,65474,1190,1.67,36,19587
北马其顿,929,70883,47364,2051,2.89,-,-
新加坡,8,58305,58188,29,0.05,1006,579
加纳,0,52738,51518,326,0.62,179,2946
阿富汗,63,48116,38141,1945,4.04,132,3637
阿尔巴尼亚,873,46061,23609,965,2.10,1572,293
韩国,688,40786,31157,572,1.40,79,5116
萨尔瓦多,0,40741,37172,1186,2.91,635,641
黑山,558,40165,29054,566,1.41,6478,62
卢森堡,1561,40037,30898,384,0.96,6785,59
挪威,255,40023,17998,382,0.95,748,535
斯里兰卡,238,30613,22831,146,0.48,146,2095
芬兰,501,30073,20000,442,1.47,542,554
澳大利亚,12,28012,25667,908,3.24,113,2477
乌干达,671,25730,9605,220,0.86,58,4427
喀麦隆,0,24963,23344,443,1.77,101,2467
拉脱维亚,680,24386,1866,319,1.31,1270,192
科特迪瓦,43,21590,21203,133,0.62,86,2490
苏丹,0,20468,11673,1319,6.44,49,4151
赞比亚,70,18161,17329,365,2.01,103,1760
马达加斯加,0,17473,16927,255,1.46,66,2626
爱沙尼亚,358,16956,10533,142,0.84,1304,130
塞内加尔,127,16893,16015,345,2.04,103,1629
莫桑比克,81,16521,14715,139,0.84,54,3052
安哥拉,121,15925,8679,362,2.27,51,3077
纳米比亚,0,15773,14218,158,1.00,611,258
刚果（金）,173,14169,12208,350,2.47,-,-
塞浦路斯,363,13649,2057,70,0.51,1156,118
几内亚,43,13368,12598,79,0.59,102,1305
马尔代夫,34,13308,12621,47,0.35,3024,44
塔吉克斯坦,0,12588,12009,88,0.70,138,910
博茨瓦纳,443,12501,9940,37,0.30,536,233
牙买加,74,11443,7522,270,2.36,395,289
佛得角,11,11203,10836,109,0.97,2036,55
津巴布韦,74,11081,9253,305,2.75,65,1691
马耳他,96,10980,8935,166,1.51,2553,43
毛里塔尼亚,163,10268,7957,210,2.05,-,-
