国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
圣马力诺,0,1932,1575,51,2.64,6440,3
乍得,19,1770,1607,102,5.76,11,1535
利比里亚,0,1676,1358,83,4.95,34,485
列支敦士登公国,52,1566,1351,20,1.28,-,-
越南,5,1402,1246,35,2.50,1.5,9649
蒙古,5,912,384,0,-,29,312
布隆迪,1,729,640,1,0.14,6.5,1121
巴布亚新几内亚,5,725,601,8,1.10,8.6,841
钻石号邮轮,0,712,699,13,1.83,-,0.37
厄立特里亚,0,711,564,0,-,13,518
摩纳哥,0,668,597,3,0.45,2226,3
科摩罗,0,628,606,7,1.11,75,83
毛里求斯,0,515,478,10,1.94,40,126
坦桑尼亚,0,509,183,21,4.13,0.86,5909
不丹,1,438,403,0,-,54,81
柬埔寨,0,359,309,0,-,2.2,1624
巴巴多斯,0,292,269,7,2.40,104,28
圣卢西亚,1,275,203,4,1.45,-,-
塞舌尔,0,187,182,0,-,207,9
文莱,0,152,147,3,1.97,35,43
安提瓜和巴布达,0,148,138,5,3.38,148,10
圣文森特和格林纳丁斯,4,98,81,0,-,89,11
多米尼克,1,88,83,0,-,125,7
格林纳达,26,69,41,0,-,69,10
斐济,2,46,38,2,4.35,5.1,91
老挝,0,41,34,0,-,0.59,696
马提尼克岛,0,37,0,1,2.70,-,-
东帝汶,0,31,30,0,-,2.3,132
圣基茨和尼维斯,0,27,23,0,-,54,5
梵蒂冈,0,27,15,0,-,-,-
所罗门群岛,0,17,5,0,-,2.7,62
马绍尔群岛,0,4,4,0,-,8.0,5
瓦努阿图,0,1,1,0,-,0.36,28
