国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,199875,17143779,10007853,311068,1.81,5246,32676
印度,26382,9932547,9456449,144096,1.45,733,135405
巴西,42889,6970034,6206483,182799,2.62,3305,21086
俄罗斯,26074,2708940,2155842,47994,1.77,1881,14396
法国,13599,2447458,184780,59182,2.42,3752,6523
土耳其,32102,1898447,1661191,16881,0.89,2317,8191
英国,18547,1893436,4093,65006,3.43,2844,6657
意大利,14839,1870576,1141406,65857,3.52,3154,5929
西班牙,9452,1771488,196958,48401,2.73,3818,4639
阿根廷,6981,1510203,1344300,41204,2.73,3380,4468
哥伦比亚,10130,1444646,1328430,39356,2.72,2920,4946
德国,24130,1391086,1031721,23595,1.70,1690,8229
墨西哥,11228,1267202,938089,115099,9.08,969,13075
波兰,12455,1159901,892650,23914,2.06,3044,3810
伊朗,7603,1131077,844430,52883,4.68,1379,8201
秘鲁,0,986130,922314,36754,3.73,3029,3255
乌克兰,11057,945218,555675,16314,1.73,2148,4400
南非,7552,873679,764977,23661,2.71,1522,5739
荷兰,83,638801,8077,10254,1.61,3740,1708
印度尼西亚,6725,636154,521984,19248,3.03,238,26679
比利时,2211,611422,33687,18178,2.97,5321,1149
捷克,7897,594148,518423,9882,1.66,-,-
伊拉克,0,577363,511639,12614,2.18,1467,3933
智利,0,575329,548190,15949,2.77,3162,1819
罗马尼亚,5991,571749,469499,13862,2.42,2920,1958
孟加拉,1632,495841,429351,7156,1.44,-,-
加拿大,6108,479064,391435,13685,2.86,1296,3695
菲律宾,1149,452988,419282,8833,1.95,425,10651
巴基斯坦,2731,445977,388598,9010,2.02,222,20081
摩洛哥,2793,403619,362911,6711,1.66,1115,3619
瑞士,5625,394453,311500,6316,1.60,4618,854
以色列,2657,363287,340146,3030,0.83,4299,845
沙特阿拉伯,142,360155,350993,6069,1.69,1073,3355
葡萄牙,0,353576,280038,5733,1.62,3436,1029
瑞典,0,341029,4917,7667,2.25,3417,998
奥地利,2664,330343,291042,4764,1.44,3775,875
匈牙利,2804,288567,83940,7381,2.56,2981,968
塞尔维亚,0,277248,15913,2433,0.88,3164,876
约旦,0,265024,226245,3437,1.30,2677,990
尼泊尔,736,250916,238569,1743,0.69,847,2962
厄瓜多尔,176,202356,177951,13896,6.87,1200,1686
格鲁吉亚,3487,198387,167281,1922,0.97,5086,390
巴拿马,2368,196987,164855,3411,1.73,4735,416
阿联酋,1278,188545,165749,626,0.33,1976,954
日本,2962,188385,156090,2623,1.39,148,12718
哈萨克斯坦,930,187890,159985,2613,1.39,1021,1840
日本本土,2962,187673,155391,2610,1.39,14,12718
阿塞拜疆,4077,187336,122859,2050,1.09,1888,992
保加利亚,2743,184287,87935,6005,3.26,2621,703
克罗地亚,3327,183045,157773,2870,1.57,4400,416
白俄罗斯,1838,165897,143373,1291,0.78,1755,945
多米尼加,613,155797,121323,2367,1.52,-,-
哥斯达黎加,927,154096,121031,1956,1.27,3113,495
亚美尼亚,1098,150218,128694,2556,1.70,5126,293
黎巴嫩,1264,148877,104207,1223,0.82,2444,609
