国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,235272,14772535,8658882,285550,1.93,4520,32676
印度,36652,9608211,9058822,139700,1.45,709,135405
巴西,46884,6533968,5825745,175964,2.69,3098,21086
俄罗斯,28450,2410462,1899474,42228,1.75,1674,14396
法国,11432,2321703,173986,54859,2.36,3559,6523
西班牙,5554,1699145,196958,46252,2.72,3662,4639
英国,16383,1694806,3648,60714,3.58,2545,6657
意大利,24110,1688939,872385,58852,3.48,2848,5929
阿根廷,6899,1454631,1281955,39512,2.72,3255,4468
哥伦比亚,9285,1352607,1240990,37467,2.77,2734,4946
德国,14020,1159665,836708,18619,1.61,1409,8229
墨西哥,12127,1156770,852719,108863,9.41,884,13075
波兰,12427,1054273,687910,19861,1.88,2767,3810
伊朗,12151,1028986,719708,50016,4.86,1254,8201
秘鲁,3785,970860,903958,36195,3.73,2982,3255
乌克兰,14157,822985,429455,13877,1.69,1870,4400
南非,4932,805804,740450,21963,2.73,1404,5739
土耳其,32736,765997,423142,14509,1.89,935,8191
比利时,2582,587439,33687,17142,2.92,5112,1149
印度尼西亚,6027,569707,470449,17589,3.09,213,26679
伊拉克,1898,562520,491657,12411,2.21,1430,3933
荷兰,6705,559561,7203,9743,1.74,3276,1708
智利,0,557135,533250,15592,2.80,3062,1819
捷克,4743,542406,473994,8738,1.61,-,-
罗马尼亚,8072,508345,399207,12186,2.40,2596,1958
孟加拉,1798,475789,393408,6807,1.43,-,-
菲律宾,1724,438069,399582,8526,1.95,411,10651
巴基斯坦,3119,413191,352529,8303,2.01,205,20081
加拿大,5960,406189,324802,12519,3.08,1099,3695
摩洛哥,3996,372620,323814,6136,1.65,1029,3619
沙特阿拉伯,190,358526,348562,5954,1.66,1068,3355
瑞士,0,344497,260600,5314,1.54,4033,854
以色列,341,342101,327162,2896,0.85,4048,845
葡萄牙,4935,312553,234038,4803,1.54,3037,1029
奥地利,3444,300689,249441,3757,1.25,3436,875
瑞典,0,278912,4917,7067,2.53,2794,998
匈牙利,5525,243581,70396,5706,2.34,2516,968
尼泊尔,1024,239885,224053,1577,0.66,809,2962
约旦,3116,234353,177195,2960,1.26,2367,990
塞尔维亚,0,206940,15913,1891,0.91,2362,876
厄瓜多尔,598,196482,169804,13696,6.97,1165,1686
哈萨克斯坦,992,178378,150271,2484,1.39,969,1840
阿联酋,1214,175276,158498,589,0.34,1837,954
巴拿马,2388,173607,150051,3154,1.82,4173,416
日本,2472,161571,133986,2231,1.38,127,12718
日本本土,2472,160859,133287,2218,1.38,12,12718
保加利亚,3614,158807,59677,4650,2.93,2258,703
格鲁吉亚,5450,158154,129210,1462,0.92,4055,390
克罗地亚,4084,147454,120857,2102,1.43,3544,416
多米尼加,671,146680,116169,2343,1.60,-,-
玻利维亚,139,145325,124390,8987,6.18,1296,1121
白俄罗斯,1896,145279,122339,1198,0.82,1537,945
科威特,0,143917,139148,886,0.62,3434,419
哥斯达黎加,1180,143685,95789,1773,1.23,2902,495
阿塞拜疆,4323,142323,85980,1593,1.12,1434,992
亚美尼亚,1267,140959,116066,2309,1.64,4810,293
卡塔尔,140,139783,137060,239,0.17,5196,269
黎巴嫩,1478,134295,86019,1078,0.80,2205,609
危地马拉,752,124805,113273,4224,3.38,723,1724
阿曼,0,124329,115866,1435,1.15,2579,482
埃及,427,117583,103191,6732,5.73,118,9937
斯洛伐克,2070,115462,79956,981,0.85,2122,544
摩尔多瓦,1522,113829,98276,2384,2.09,2817,404
希腊,1648,113185,23074,2804,2.48,1016,1114
埃塞俄比亚,512,112091,78619,1734,1.55,105,10667
洪都拉斯,0,109760,48953,2938,2.68,1166,941
委内瑞拉,329,103877,98879,913,0.88,320,3238
突尼斯,2620,101900,75464,3481,3.42,874,1165
缅甸,1527,98047,76382,2081,2.12,182,5385
巴勒斯坦,1422,96098,71236,812,0.84,1902,505
中国,136,94142,87824,4753,5.05,6.7,140005
波黑,975,93768,58034,2922,3.12,2679,350
丹麦,2115,89381,70387,878,0.98,1554,575
巴林,168,87600,85710,341,0.39,5615,156
肯尼亚,866,87249,68110,1506,1.73,171,5095
阿尔及利亚,803,86730,56079,2492,2.87,206,4200
巴拉圭,1022,86499,60644,1813,2.10,1255,689
利比亚,0,85529,56048,1219,1.43,1321,647
斯洛文尼亚,3426,84775,62600,1700,2.01,4075,208
吉尔吉斯斯坦,401,74774,66538,1290,1.73,1219,613
乌兹别克斯坦,159,73751,71002,611,0.83,227,3236
爱尔兰,263,73491,23364,2086,2.84,1531,480
立陶宛,2848,72430,30277,611,0.84,2523,287
马来西亚,1123,71359,60204,380,0.53,222,3204
尼日利亚,324,68627,64467,1179,1.72,35,19587
北马其顿,1099,66330,42241,1877,2.83,-,-
新加坡,13,58255,58152,29,0.05,1006,579
加纳,429,52096,50924,325,0.62,176,2946
阿富汗,235,47072,37393,1864,3.96,129,3637
阿尔巴尼亚,801,41302,20974,870,2.11,1409,293
萨尔瓦多,0,39718,36286,1153,2.90,619,641
挪威,430,37801,17998,354,0.94,706,535
黑山,535,37467,26414,522,1.39,6043,62
