国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
卢森堡,588,37017,28029,345,0.93,6274,59
韩国,583,36915,28917,540,1.46,72,5116
澳大利亚,7,27956,25636,908,3.25,112,2477
芬兰,460,27218,18100,415,1.52,491,554
斯里兰卡,1022,27060,20090,130,0.48,129,2095
喀麦隆,265,24752,23344,443,1.79,100,2467
乌干达,286,21898,9117,206,0.94,49,4427
科特迪瓦,23,21412,21054,132,0.62,85,2490
拉脱维亚,794,20787,1866,253,1.22,1082,192
苏丹,661,19196,10942,1290,6.72,46,4151
赞比亚,127,17857,17145,364,2.04,101,1760
马达加斯加,0,17513,16657,255,1.46,66,2626
塞内加尔,100,16397,15731,337,2.06,100,1629
莫桑比克,120,16038,14160,133,0.83,52,3052
安哥拉,132,15493,8299,353,2.28,50,3077
纳米比亚,351,14950,13908,152,1.02,579,258
爱沙尼亚,561,14500,8919,126,0.87,1115,130
刚果（金）,149,13281,11753,337,2.54,-,-
几内亚,0,13186,12270,76,0.58,101,1305
马尔代夫,37,13143,12199,47,0.36,2987,44
塔吉克斯坦,81,12389,11796,87,0.70,136,910
塞浦路斯,289,11812,2057,57,0.48,1001,118
博茨瓦纳,0,11531,8978,34,0.29,494,233
佛得角,58,10996,10496,108,0.98,1999,55
牙买加,76,10987,6730,260,2.37,380,289
津巴布韦,123,10547,8802,281,2.66,62,1691
马耳他,103,10423,8289,149,1.43,2423,43
海地,16,9347,8124,233,2.49,84,1111
加蓬,15,9254,9106,60,0.65,449,206
毛里塔尼亚,176,9181,7812,182,1.98,-,-
古巴,79,8610,7858,136,1.58,75,1148
叙利亚,86,8233,3811,437,5.31,45,1828
巴哈马,16,7565,5976,163,2.15,1939,39
伯利兹,147,7383,3725,170,2.30,1942,38
安道尔,51,6955,6130,77,1.11,9935,7
特立尼达和多巴哥,10,6735,5884,121,1.80,491,137
乌拉圭,276,6731,4826,80,1.19,194,346
斯威士兰,6,6480,6066,122,1.88,466,139
马拉维,4,6047,5472,185,3.06,31,1916
卢旺达,32,6043,5672,51,0.84,48,1250
尼加拉瓜,0,5838,4225,161,2.76,92,628
刚果（布）,0,5774,4988,94,1.63,-,-
吉布提,1,5690,5592,61,1.07,586,97
圭亚那,73,5601,4695,151,2.70,718,78
冰岛,14,5476,5253,27,0.49,1659,33
苏里南,0,5322,5205,117,2.20,950,56
赤道几内亚,0,5159,5023,85,1.65,393,131
马里,58,4938,3307,163,3.30,25,1910
中非共和国,0,4918,1924,63,1.28,103,473
索马里,0,4525,3480,121,2.67,29,1518
泰国,19,4072,3848,60,1.47,5.9,6918
冈比亚,1,3768,3613,123,3.26,174,216
布基纳法索,29,3091,2687,68,2.20,15,1975
贝宁,0,3055,2907,44,1.44,26,1148
多哥,12,3051,2599,65,2.13,38,799
几内亚比绍,0,2441,2327,44,1.80,128,190
塞拉利昂,4,2420,1842,74,3.06,31,771
也门,28,2267,1534,627,27.66,7.8,2891
莱索托,5,2150,1278,44,2.05,95,226
新西兰,9,2078,1994,25,1.20,43,474
圣马力诺,75,1789,1412,48,2.68,5963,3
尼日尔,86,1726,1237,77,4.46,7.7,2231
乍得,11,1719,1555,102,5.93,11,1535
利比里亚,13,1676,1358,83,4.95,34,485
列支敦士登公国,27,1378,1183,17,1.23,-,-
越南,4,1365,1220,35,2.56,1.4,9649
蒙古,11,842,368,0,-,26,312
钻石号邮轮,0,712,699,13,1.83,-,0.37
布隆迪,0,692,575,1,0.14,6.2,1121
巴布亚新几内亚,0,671,597,7,1.04,8.0,841
厄立特里亚,38,632,508,0,-,12,518
摩纳哥,0,630,571,3,0.48,2100,3
科摩罗,0,615,590,7,1.14,74,83
坦桑尼亚,0,509,183,21,4.13,0.86,5909
毛里求斯,0,508,465,10,1.97,40,126
不丹,6,424,387,0,-,52,81
柬埔寨,10,345,305,0,-,2.1,1624
巴巴多斯,3,284,257,7,2.46,101,28
圣卢西亚,0,262,141,2,0.76,-,-
塞舌尔,0,184,168,0,-,204,9
文莱,0,151,146,3,1.99,35,43
安提瓜和巴布达,0,144,133,4,2.78,144,10
圣文森特和格林纳丁斯,0,87,80,0,-,79,11
多米尼克,0,85,72,0,-,121,7
斐济,0,44,33,2,4.55,4.8,91
格林纳达,0,41,39,0,-,41,10
老挝,0,39,26,0,-,0.56,696
马提尼克岛,0,37,0,1,2.70,-,-
东帝汶,0,31,30,0,-,2.3,132
梵蒂冈,0,27,15,0,-,-,-
圣基茨和尼维斯,0,22,19,0,-,44,5
所罗门群岛,0,17,5,0,-,2.7,62
马绍尔群岛,0,4,4,0,-,8.0,5
瓦努阿图,0,1,1,0,-,0.36,28
