国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
爱尔兰,162,73228,23364,2080,2.84,1525,480
马来西亚,1141,70236,59061,376,0.54,219,3204
立陶宛,7067,69582,27760,590,0.85,2424,287
尼日利亚,343,68303,64291,1179,1.73,34,19587
北马其顿,1341,65231,41656,1847,2.83,-,-
新加坡,3,58242,58145,29,0.05,1005,579
加纳,0,51667,50547,323,0.63,175,2946
阿富汗,119,46837,37260,1846,3.94,128,3637
阿尔巴尼亚,782,40501,20484,852,2.10,1382,293
萨尔瓦多,588,39718,36286,1142,2.88,619,641
挪威,235,37371,17998,354,0.95,698,535
黑山,581,36932,25866,516,1.40,5956,62
卢森堡,627,36429,27356,339,0.93,6174,59
韩国,629,36332,28611,536,1.48,71,5116
澳大利亚,10,27949,25630,908,3.25,112,2477
芬兰,336,26758,18100,408,1.52,482,554
斯里兰卡,278,26038,19438,129,0.50,124,2095
喀麦隆,0,24487,22177,441,1.80,99,2467
乌干达,203,21612,9110,206,0.95,48,4427
科特迪瓦,28,21389,21022,132,0.62,85,2490
拉脱维亚,686,19993,1849,242,1.21,1041,192
苏丹,281,18535,10672,1271,6.86,44,4151
赞比亚,0,17730,17102,357,2.01,100,1760
马达加斯加,172,17513,16657,255,1.46,66,2626
塞内加尔,80,16297,15707,336,2.06,100,1629
莫桑比克,52,15918,14030,132,0.83,52,3052
安哥拉,42,15361,8244,352,2.29,49,3077
纳米比亚,122,14599,13774,151,1.03,565,258
爱沙尼亚,470,13939,8549,125,0.90,1072,130
几内亚,19,13186,12270,76,0.58,101,1305
刚果（金）,145,13132,11753,337,2.57,-,-
马尔代夫,36,13106,12154,47,0.36,2978,44
塔吉克斯坦,39,12308,11718,87,0.71,135,910
博茨瓦纳,789,11531,8978,34,0.29,494,233
塞浦路斯,348,11523,2057,54,0.47,976,118
佛得角,71,10938,10454,107,0.98,1988,55
牙买加,47,10911,6614,259,2.37,377,289
津巴布韦,295,10424,8754,280,2.69,61,1691
马耳他,123,10320,8120,149,1.44,2400,43
海地,18,9331,8114,233,2.50,83,1111
加蓬,0,9239,9089,60,0.65,448,206
毛里塔尼亚,142,9005,7785,181,2.01,-,-
古巴,75,8531,7770,136,1.59,74,1148
叙利亚,88,8147,3748,432,5.30,44,1828
巴哈马,6,7549,5934,163,2.16,1935,39
伯利兹,1382,7236,3571,164,2.27,1904,38
安道尔,62,6904,6066,77,1.12,9862,7
特立尼达和多巴哥,21,6725,5861,121,1.80,490,137
斯威士兰,19,6474,6044,122,1.88,465,139
乌拉圭,230,6455,4707,80,1.24,186,346
马拉维,3,6043,5472,185,3.06,31,1916
卢旺达,17,6011,5596,50,0.83,48,1250
尼加拉瓜,0,5838,4225,161,2.76,92,628
刚果（布）,0,5774,4988,94,1.63,-,-
吉布提,7,5689,5591,61,1.07,586,97
圭亚那,79,5528,4618,151,2.73,708,78
冰岛,14,5462,5223,27,0.49,1655,33
苏里南,2,5322,5203,117,2.20,950,56
赤道几内亚,3,5159,5023,85,1.65,393,131
中非共和国,0,4918,1924,63,1.28,103,473
马里,43,4880,3281,162,3.32,25,1910
索马里,0,4525,3480,121,2.67,29,1518
泰国,14,4053,3839,60,1.48,5.9,6918
冈比亚,2,3767,3610,123,3.27,174,216
布基纳法索,52,3062,2679,68,2.22,15,1975
贝宁,0,3055,2907,44,1.44,26,1148
多哥,25,3039,2567,65,2.14,38,799
几内亚比绍,0,2441,2327,44,1.80,128,190
塞拉利昂,0,2416,1840,74,3.06,31,771
也门,22,2239,1525,624,27.87,7.7,2891
莱索托,0,2145,1278,44,2.05,94,226
新西兰,0,2069,1983,25,1.21,43,474
圣马力诺,0,1714,1356,46,2.68,5713,3
乍得,3,1708,1539,102,5.97,11,1535
利比里亚,68,1663,1358,83,4.99,34,485
尼日尔,0,1640,1227,76,4.63,7.4,2231
越南,0,1361,1220,35,2.57,1.4,9649
列支敦士登公国,0,1339,1169,17,1.27,-,-
蒙古,12,831,365,0,-,26,312
钻石号邮轮,0,712,699,13,1.83,-,0.37
布隆迪,3,692,575,1,0.14,6.2,1121
巴布亚新几内亚,2,671,597,7,1.04,8.0,841
摩纳哥,9,630,570,3,0.48,2100,3
科摩罗,2,615,590,7,1.14,74,83
厄立特里亚,17,594,498,0,-,11,518
坦桑尼亚,0,509,183,21,4.13,0.86,5909
毛里求斯,0,508,465,10,1.97,40,126
不丹,3,418,386,0,-,51,81
柬埔寨,4,335,304,0,-,2.1,1624
巴巴多斯,2,281,257,7,2.49,100,28
圣卢西亚,1,262,141,2,0.76,-,-
塞舌尔,0,183,162,0,-,203,9
文莱,0,151,146,3,1.99,35,43
安提瓜和巴布达,0,144,133,4,2.78,144,10
圣文森特和格林纳丁斯,2,87,80,0,-,79,11
多米尼克,0,85,63,0,-,121,7
斐济,2,44,33,2,4.55,4.8,91
格林纳达,0,41,30,0,-,41,10
老挝,0,39,26,0,-,0.56,696
马提尼克岛,0,37,0,1,2.70,-,-
东帝汶,0,31,30,0,-,2.3,132
梵蒂冈,0,27,15,0,-,-,-
圣基茨和尼维斯,0,22,19,0,-,44,5
所罗门群岛,0,17,5,0,-,2.7,62
马绍尔群岛,0,4,4,0,-,8.0,5
瓦努阿图,0,1,1,0,-,0.36,28
