国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,218576,14535196,8561427,282829,1.95,4448,32676
印度,36595,9571559,9016289,139188,1.45,706,135405
巴西,50434,6487084,5792539,175270,2.70,3076,21086
俄罗斯,27078,2382012,1872214,41730,1.75,1654,14396
法国,34594,2310271,172574,54231,2.35,3541,6523
西班牙,6104,1693591,196958,46038,2.72,3650,4639
英国,14952,1678423,3632,60210,3.59,2521,6657
意大利,23219,1664829,846809,58038,3.49,2807,5929
阿根廷,7629,1447732,1274675,39305,2.71,3240,4468
哥伦比亚,9233,1343322,1233115,37305,2.78,2715,4946
德国,27491,1145645,819735,18135,1.58,1392,8229
墨西哥,11030,1144643,843231,108173,9.45,875,13075
波兰,13236,1041846,666413,19359,1.86,2734,3810
伊朗,13341,1016835,708106,49695,4.89,1239,8201
秘鲁,3470,967075,901544,36076,3.73,2971,3255
乌克兰,15456,808828,414347,13641,1.69,1838,4400
南非,4400,800872,739367,21803,2.72,1395,5739
土耳其,32381,733261,418331,14316,1.95,895,8191
比利时,2605,584857,33687,17033,2.91,5090,1149
印度尼西亚,5803,563680,466178,17479,3.10,211,26679
伊拉克,1855,560622,489772,12387,2.21,1425,3933
智利,1508,555406,530470,15519,2.79,3053,1819
荷兰,5990,552856,7129,9703,1.76,3236,1708
捷克,4621,537663,468302,8641,1.61,-,-
罗马尼亚,8062,500273,390212,12052,2.41,2555,1958
孟加拉,2252,473991,390951,6772,1.43,-,-
菲律宾,932,436345,399345,8509,1.95,409,10651
巴基斯坦,3262,410072,350305,8260,2.01,204,20081
加拿大,5748,399770,319250,12423,3.11,1081,3695
摩洛哥,4434,368624,318987,6063,1.64,1018,3619
沙特阿拉伯,0,358102,347881,5930,1.66,1067,3355
瑞士,4382,344497,260600,5221,1.52,4033,854
以色列,1336,341760,326966,2896,0.85,4044,845
葡萄牙,3772,307618,229018,4724,1.54,2989,1029
奥地利,3815,297245,243775,3651,1.23,3397,875
瑞典,6269,278912,4917,7067,2.53,2794,998
尼泊尔,1272,238861,221847,1567,0.66,806,2962
匈牙利,6212,238056,68525,5513,2.32,2459,968
约旦,4029,231237,173369,2909,1.26,2335,990
塞尔维亚,0,199158,15913,1765,0.89,2273,876
厄瓜多尔,1008,195884,169804,13612,6.95,1161,1686
哈萨克斯坦,1044,177386,149435,2482,1.40,964,1840
阿联酋,0,172751,157035,585,0.34,1810,954
巴拿马,1880,171219,148396,3141,1.83,4115,416
日本,2431,159071,131719,2223,1.40,125,12718
日本本土,2431,158359,131020,2210,1.40,12,12718
保加利亚,3280,155193,57141,4503,2.90,2207,703
格鲁吉亚,5068,152704,126904,1425,0.93,3915,390
多米尼加,812,146009,115992,2335,1.60,-,-
玻利维亚,192,145186,124015,8982,6.19,1295,1121
科威特,0,143574,138674,884,0.62,3426,419
克罗地亚,3955,143370,117148,2032,1.42,3446,416
哥斯达黎加,1165,142505,91424,1757,1.23,2878,495
白俄罗斯,0,141609,118924,1181,0.83,1498,945
亚美尼亚,1184,139692,114990,2277,1.63,4767,293
卡塔尔,166,139643,136872,239,0.17,5191,269
阿塞拜疆,4267,138000,83800,1551,1.12,1391,992
黎巴嫩,1520,132817,84142,1067,0.80,2180,609
阿曼,0,124329,115866,1435,1.15,2579,482
危地马拉,593,124053,112719,4209,3.39,719,1724
埃及,432,117156,103082,6713,5.73,117,9937
斯洛伐克,2184,113392,77142,957,0.84,2084,544
摩尔多瓦,1727,112307,97549,2363,2.10,2779,404
埃塞俄比亚,595,111579,77385,1724,1.55,104,10667
希腊,1882,111537,23074,2706,2.43,1001,1114
洪都拉斯,616,109760,48953,2938,2.68,1166,941
委内瑞拉,481,103548,98521,909,0.88,319,3238
突尼斯,0,99280,73607,3359,3.38,852,1165
缅甸,0,95018,73748,2028,2.13,176,5385
巴勒斯坦,1968,94676,70206,797,0.84,1874,505
中国,114,94023,87761,4753,5.06,6.7,140005
波黑,0,91539,56050,2812,3.07,2615,350
巴林,162,87432,85598,341,0.39,5604,156
肯尼亚,1253,86383,67788,1500,1.74,169,5095
阿尔及利亚,843,85927,55538,2480,2.89,204,4200
丹麦,2,85663,69150,867,1.01,1489,575
利比亚,680,85529,56048,1219,1.43,1321,647
巴拉圭,995,85477,60086,1796,2.10,1240,689
斯洛文尼亚,11,81349,59469,1592,1.96,3911,208
吉尔吉斯斯坦,440,74373,66113,1285,1.73,1213,613
乌兹别克斯坦,161,73592,70861,611,0.83,227,3236
