国家,新增确诊,确诊,治愈,死亡
美国,208121,15591709,9087069,293398
印度,32080,9735850,9215581,141360
巴西,51088,6674999,5965492,178159
俄罗斯,0,2492713,1963864,43674
法国,14137,2363196,177558,56453
意大利,14837,1757394,958629,61240
英国,12383,1754911,3765,62130
西班牙,6255,1715700,196958,46646
阿根廷,3610,1469919,1305587,40009
哥伦比亚,7510,1384610,1278326,38158
德国,19788,1229269,909058,20002
墨西哥,11006,1193255,881050,110874
波兰,8310,1076180,738845,20592
伊朗,11023,1062397,754224,50917
秘鲁,0,973912,909389,36274
土耳其,33198,893630,441515,15314
乌克兰,0,855054,454226,14413
南非,4011,821889,753072,22432
比利时,1957,594572,0,17507
印度尼西亚,5292,586842,483497,18000
荷兰,96,579997,7413,9857
伊拉克,2123,568138,498064,12477
智利,1392,563534,537727,15680
捷克,0,551070,484781,9036
罗马尼亚,7439,524675,416797,12660
孟加拉国,2202,481945,401194,6906
菲律宾,1386,442785,408790,8670
加拿大,6114,432743,349629,12887
巴基斯坦,2963,426142,372271,8547
摩洛哥,2900,384088,337719,6370
沙特阿拉伯,193,359115,349414,5989
瑞士,4262,358568,279900,5593
以色列,788,348285,331055,2932
葡萄牙,0,327976,252428,5122
奥地利,2377,308070,262314,4002
瑞典,18820,297732,4917,7200
匈牙利,0,256367,75281,6120
约旦,3062,247131,197058,3162
尼泊尔,1382,243377,229054,1637
塞尔维亚,0,234027,15913,2062
厄瓜多尔,508,198752,174188,13794
哈萨克斯坦,944,181721,153432,2544
巴拿马,1936,181166,155870,3241
阿联酋,1260,178837,160295,596
格鲁吉亚,0,169649,141392,1576
保加利亚,3980,168165,69028,5156
日本,47,166592,138838,2334
克罗地亚,2613,154852,130869,2298
阿塞拜疆,4387,154152,93411,1713
白俄罗斯,1649,150602,127528,1222
多米尼加,492,149630,117804,2347
哥斯达黎加,1009,147430,105686,1846
玻利维亚,189,145846,125230,9002
科威特,301,144900,140638,900
亚美尼亚,0,142928,119147,2372
卡塔尔,117,140203,137708,239
黎巴嫩,1039,139135,93100,1136
危地马拉,799,126473,115406,4286
阿曼,210,125325,116720,1454
埃及,434,119281,103913,6813
斯洛伐克,1949,119232,87433,1046
摩尔多瓦,1709,119204,102565,2460
希腊,1324,118045,23074,3194
埃塞俄比亚,531,114266,84948,1766
洪都拉斯,684,111707,49781,2950
突尼斯,1116,105445,80082,3668
委内瑞拉,480,105384,100476,928
缅甸,1308,101739,80726,2151
巴勒斯坦,1351,101109,75257,867
波黑,1077,96021,60210,3081
波多黎各,0,95707,45565,1155
丹麦,1,95332,73572,901
中国,117,94500,88067,4753
巴拉圭,698,89421,63243,1887
阿尔及利亚,591,89416,58146,2539
肯尼亚,521,89100,69839,1545
巴林,183,88294,86348,343
利比亚,889,87986,57837,1255
斯洛文尼亚,21,87936,65240,1862
立陶宛,0,77426,32399,673
吉尔吉斯斯坦,0,75690,67873,1301
马来西亚,1012,75306,64056,388
爱尔兰,214,74682,23364,2097
乌兹别克斯坦,0,74206,71482,611
尼日利亚,550,70195,65110,1182
北马其顿,1120,69452,45621,1977
新加坡,0,58285,58176,29
加纳,226,52500,51319,326
阿富汗,0,47716,37920,1906
阿尔巴尼亚,753,44436,22527,936
萨尔瓦多,206,40551,36951,1168
韩国,677,39432,30177,556
挪威,243,39163,17998,361
黑山,591,39153,28052,549
卢森堡,0,38476,29792,360
斯里兰卡,798,29378,21258,142
芬兰,361,28242,18100,424
澳大利亚,6,27993,25651,908
喀麦隆,0,24752,23344,443
乌干达,0,23200,9374,207
拉脱维亚,584,22104,1866,288
科特迪瓦,6,21513,21161,132
苏丹,0,19747,11184,1301
库拉索岛,0,18762,0,408
赞比亚共和国,32,17963,17268,364
马达加斯加,0,17473,16927,255
塞内加尔,43,16596,15864,340
莫桑比克,47,16373,14437,136
安哥拉,81,15729,8470,355
爱沙尼亚,284,15510,9446,137
纳米比亚,79,15298,14004,153
