国家,新增确诊,确诊,治愈,死亡
美国,218576,14535196,8561427,282829
印度,36595,9571559,9016289,139188
巴西,50434,6487084,5792539,175270
俄罗斯,27078,2382012,1872214,41730
法国,34594,2310271,172574,54231
西班牙,6104,1693591,196958,46038
英国,14952,1678423,3632,60210
意大利,23219,1664829,846809,58038
阿根廷,7629,1447732,1274675,39305
哥伦比亚,9233,1343322,1233115,37305
德国,27491,1145645,819735,18135
墨西哥,11030,1144643,843231,108173
波兰,13236,1041846,666413,19359
伊朗,13341,1016835,708106,49695
秘鲁,3470,967075,901544,36076
乌克兰,15456,808828,414347,13641
南非,4400,800872,739367,21803
土耳其,32381,733261,418331,14316
比利时,2605,584857,33687,17033
印度尼西亚,5803,563680,466178,17479
伊拉克,1855,560622,489772,12387
智利,3237,557135,531543,15558
荷兰,5990,552856,7129,9703
捷克,4621,537663,468302,8641
罗马尼亚,8062,500273,390212,12052
孟加拉国,2252,473991,390951,6772
菲律宾,932,436345,399345,8509
巴基斯坦,3262,410072,350305,8260
加拿大,5748,399770,319250,12423
摩洛哥,4434,368624,318987,6063
沙特阿拉伯,234,358336,348238,5940
瑞士,4382,344497,260600,5243
以色列,1336,341760,326966,2896
葡萄牙,3772,307618,229018,4724
奥地利,3815,297245,243775,3651
瑞典,6269,278912,4917,7067
尼泊尔,1272,238861,221847,1567
匈牙利,6212,238056,68525,5513
约旦,4029,231237,173369,2909
塞尔维亚,7782,206940,0,1834
厄瓜多尔,1008,195884,169804,13612
哈萨克斯坦,1044,177386,149435,2482
阿联酋,1311,174062,157828,586
巴拿马,1880,171219,148396,3141
日本,2445,158373,131020,2210
保加利亚,3280,155193,57141,4503
格鲁吉亚,5068,152704,126904,1425
多米尼加,812,146009,115992,2335
玻利维亚,192,145186,124015,8982
科威特,0,143574,139148,886
白俄罗斯,1774,143383,120571,1190
克罗地亚,3955,143370,117148,2032
哥斯达黎加,1165,142505,91424,1757
亚美尼亚,1184,139692,114990,2277
卡塔尔,166,139643,136872,239
阿塞拜疆,4267,138000,83800,1551
黎巴嫩,1520,132817,84142,1067
阿曼,0,124329,115866,1435
危地马拉,593,124053,112719,4209
埃及,432,117156,103082,6713
斯洛伐克,2184,113392,77142,957
摩尔多瓦,1727,112307,97549,2363
埃塞俄比亚,595,111579,77385,1724
希腊,1882,111537,23074,2706
洪都拉斯,616,109760,48953,2938
委内瑞拉,481,103548,98521,909
突尼斯,0,99280,73607,3359
波多黎各,3607,95707,45565,1155
缅甸,1418,95018,74973,2059
巴勒斯坦,1968,94676,70206,797
中国,108,94019,87762,4753
波黑,1254,92793,57545,2865
巴林,162,87432,85598,341
丹麦,1605,87266,69150,867
肯尼亚,1253,86383,67788,1500
阿尔及利亚,843,85927,55538,2480
利比亚,680,85529,56048,1219
巴拉圭,995,85477,60086,1796
斯洛文尼亚,11,81349,59469,1592
吉尔吉斯斯坦,440,74373,66113,1285
