国家,新增确诊,确诊,治愈,死亡,死亡率（%）,感染占比,人口（万人）
赞比亚,32,17963,17268,364,2.03,102,1760
马达加斯加,0,17513,16927,255,1.46,66,2626
塞内加尔,43,16596,15864,340,2.05,101,1629
莫桑比克,82,16326,14429,136,0.83,53,3052
安哥拉,57,15648,8353,354,2.26,50,3077
爱沙尼亚,284,15510,9446,137,0.88,1193,130
纳米比亚,141,15219,13949,152,1.00,589,258
刚果（金）,68,13595,12059,344,2.53,0,0
几内亚,31,13264,12465,79,0.60,101,1305
马尔代夫,15,13213,12437,47,0.36,3002,44
塞浦路斯,416,12867,2057,63,0.49,1090,118
塔吉克斯坦,0,12469,11881,87,0.70,137,910
博茨瓦纳,527,12058,9400,36,0.30,517,233
牙买加,0,11184,7146,265,2.37,386,289
佛得角,35,11098,10676,109,0.98,2017,55
津巴布韦,121,10839,8972,294,2.71,64,1691
马耳他,40,10699,8641,157,1.47,2488,43
毛里塔尼亚,163,9679,7849,194,2.00,0,0
海地,29,9399,8148,233,2.48,84,1111
加蓬,24,9278,9132,60,0.65,450,206
古巴,124,8906,7997,136,1.53,77,1148
叙利亚,87,8490,4000,452,5.32,46,1828
伯利兹,184,7953,3943,176,2.21,2092,38
巴哈马,9,7579,6003,163,2.15,1943,39
乌拉圭,202,7505,5240,83,1.11,216,346
安道尔,34,7084,6293,78,1.10,10120,7
特立尼达和多巴哥,8,6775,5962,122,1.80,494,137
斯威士兰,28,6529,6094,123,1.88,469,139
卢旺达,62,6191,5696,51,0.82,49,1250
马拉维,0,6051,5476,185,3.06,31,1916
尼加拉瓜,0,5838,4225,161,2.76,92,628
刚果（布）,0,5774,4988,94,1.63,0,0
吉布提,7,5708,5596,61,1.07,588,97
圭亚那,32,5697,4779,154,2.70,730,78
冰岛,10,5506,5292,28,0.51,1668,33
苏里南,1,5325,5214,117,2.20,950,56
马里,155,5290,3377,175,3.31,27,1910
赤道几内亚,0,5166,5036,85,1.65,394,131
中非共和国,0,4922,1924,63,1.28,104,473
索马里,54,4579,3529,121,2.64,30,1518
泰国,19,4126,3874,60,1.45,6.0,6918
冈比亚,2,3772,3618,123,3.26,174,216
布基纳法索,103,3315,2721,68,2.05,16,1975
多哥,16,3111,2677,65,2.09,38,799
贝宁,0,3073,2922,44,1.43,26,1148
几内亚比绍,3,2444,2337,44,1.80,128,190
塞拉利昂,2,2428,1846,74,3.05,31,771
也门,0,2383,1554,649,27.23,8.2,2891
莱索托,0,2150,1278,44,2.05,95,226
新西兰,6,2085,2006,25,1.20,43,474
尼日尔,38,1894,1239,78,4.12,8.5,2231
圣马力诺,0,1800,1438,48,2.67,6000,3
乍得,3,1728,1571,102,5.90,11,1535
利比里亚,0,1676,1358,83,4.95,34,485
列支敦士登公国,0,1397,1235,19,1.36,0,0
越南,10,1377,1224,35,2.54,1.4,9649
蒙古,1,888,384,0,0,28,312
钻石号邮轮,0,712,699,13,1.83,0,0.37
布隆迪,4,698,630,1,0.14,6.2,1121
巴布亚新几内亚,13,684,601,7,1.02,8.1,841
厄立特里亚,17,649,517,0,0,12,518
摩纳哥,3,641,577,3,0.47,2136,3
科摩罗,0,616,600,7,1.14,74,83
毛里求斯,3,511,478,10,1.96,40,126
坦桑尼亚,0,509,183,21,4.13,0.86,5909
不丹,2,432,390,0,0,53,81
柬埔寨,2,350,307,0,0,2.2,1624
巴巴多斯,2,287,260,7,2.44,102,28
圣卢西亚,5,270,165,2,0.74,0,0
塞舌尔,0,184,168,0,0,204,9
文莱,1,152,147,3,1.97,35,43
安提瓜和巴布达,0,146,134,4,2.74,146,10
圣文森特和格林纳丁斯,0,87,80,0,0,79,11
多米尼克,0,85,72,0,0,121,7
斐济,0,44,33,2,4.55,4.8,91
格林纳达,0,43,41,0,0,43,10
老挝,0,41,28,0,0,0.59,696
马提尼克岛,0,37,0,1,2.70,0,0
东帝汶,0,31,30,0,0,2.3,132
梵蒂冈,0,27,15,0,0,0,0
圣基茨和尼维斯,0,25,21,0,0,50,5
所罗门群岛,0,17,5,0,0,2.7,62
马绍尔群岛,0,4,4,0,0,8.0,5
瓦努阿图,0,1,1,0,0,0.36,28
