国家,新增确诊,确诊,治愈,死亡
美国,198453,14973044,8773864,287785
印度,-,9608211,9058822,139700
巴西,43209,6577177,5825745,176628
俄罗斯,-,2410462,1899474,42228
法国,12923,2334626,174992,55073
英国,15572,1710378,3648,61111
意大利,21052,1709991,896308,59514
西班牙,5554,1699145,196958,46252
阿根廷,5201,1459832,1288785,39632
哥伦比亚,9642,1362249,1249702,37633
德国,10242,1170095,842805,18654
墨西哥,-,1156770,852719,108863
波兰,-,1054273,687910,19861
伊朗,-,1028986,719708,50016
秘鲁,-,970860,903958,36195
乌克兰,-,822985,429455,13877
南非,4645,810449,744298,22067
土耳其,31896,797893,427242,14705
比利时,-,587439,33687,17142
印度尼西亚,-,569707,470449,17589
伊拉克,-,562520,491657,12411
荷兰,136,559697,7256,9743
智利,1533,558668,533250,15592
捷克,1706,544112,474167,8782
罗马尼亚,-,508345,399207,12186
孟加拉国,-,475789,393408,6807
菲律宾,-,438069,399582,8526
巴基斯坦,-,413191,352529,8303
加拿大,6354,412543,328397,12607
摩洛哥,4118,376738,327693,6184
沙特阿拉伯,-,358526,348562,5954
瑞士,-,344497,260600,5324
以色列,1725,343826,327749,2909
葡萄牙,6087,318640,240203,4876
奥地利,-,300689,249441,3757
瑞典,-,278912,4917,7067
匈牙利,-,243581,70396,5706
尼泊尔,-,239885,224053,1577
约旦,3160,237513,182463,3010
塞尔维亚,6903,213843,15913,1891
厄瓜多尔,909,197391,169804,13756
哈萨克斯坦,-,178378,150271,2484
阿联酋,-,175276,158498,589
巴拿马,-,173607,150051,3154
日本,-,160870,133287,2229
保加利亚,2037,160844,60673,4729
格鲁吉亚,-,158154,129210,1462
多米尼加,975,147655,116329,2345
克罗地亚,-,147454,120857,2102
玻利维亚,-,145325,124390,8987
白俄罗斯,-,145279,122339,1198
科威特,247,144164,139610,889
哥斯达黎加,-,143685,95789,1773
阿塞拜疆,-,142323,85980,1593
亚美尼亚,-,140959,116066,2309
卡塔尔,-,139783,137060,239
黎巴嫩,-,134295,86019,1078
危地马拉,547,125352,113870,4239
阿曼,-,124329,115866,1435
埃及,431,118014,103324,6750
摩尔多瓦,1728,115557,99606,2403
斯洛伐克,-,115462,79956,981
希腊,1383,114568,23074,2902
埃塞俄比亚,649,112740,79579,1745
洪都拉斯,200,109960,49096,2941
委内瑞拉,-,103877,98879,913
突尼斯,1091,102991,76441,3526
缅甸,-,98047,76382,2081
巴勒斯坦,-,96098,71236,812
波多黎各,-,95707,45565,1155
波黑,-,93768,58034,2922
丹麦,1,89382,70387,878
肯尼亚,735,87984,68532,1518
巴林,132,87732,85876,341
阿尔及利亚,772,87502,56617,2501
巴拉圭,-,86499,60644,1813
利比亚,-,85529,56048,1219
斯洛文尼亚,-,84775,62600,1700
吉尔吉斯斯坦,-,74774,66538,1290
爱尔兰,457,73948,23364,2099
乌兹别克斯坦,-,73751,71002,611
立陶宛,-,72430,30277,611
马来西亚,-,71359,60204,380
尼日利亚,310,68937,64650,1180
北马其顿,981,67311,42872,1901
新加坡,-,58255,58158,29
加纳,-,52096,50924,325
阿富汗,-,47072,37393,1864
阿尔巴尼亚,846,42148,21286,889
萨尔瓦多,-,39718,36286,1153
挪威,160,37961,17998,354
黑山,412,37879,26809,530
卢森堡,-,37017,28029,345
韩国,-,36915,28917,540
澳大利亚,-,27956,25636,908
斯里兰卡,168,27228,20090,137
芬兰,-,27218,18100,415
喀麦隆,-,24752,23344,443
乌干达,290,22188,9117,206
科特迪瓦,29,21441,21090,132
拉脱维亚,-,20787,1866,253
苏丹,-,19196,10942,1290
库拉索岛,-,18762,0,408
赞比亚共和国,-,17730,17059,357
马达加斯加,-,17513,16927,255
塞内加尔,-,16397,15731,337
莫桑比克,95,16133,14343,133
安哥拉,43,15536,8335,354
纳米比亚,-,14950,13908,152
爱沙尼亚,-,14500,8919,126
刚果（金）,132,13413,11857,342
几内亚,47,13233,12355,76
马尔代夫,16,13159,12264,47
塔吉克斯坦,-,12389,11796,87
塞浦路斯,369,12181,2057,57
博茨瓦纳,-,11531,8978,34
牙买加,76,11063,6866,261
佛得角,40,11036,10541,109
津巴布韦,-,10547,8802,281
马耳他,-,10423,8289,149
法属圭亚那,-,9692,9341,65
毛里塔尼亚,178,9359,7835,184
海地,-,9347,8124,233
加蓬,-,9254,9106,60
古巴,104,8714,7909,136
瓜德罗普岛,-,8427,0,149
叙利亚,87,8320,3879,442
留尼旺,-,8102,0,40
巴哈马,-,7565,5976,163
伯利兹,-,7383,3725,170
安道尔,50,7005,6171,78
关岛,-,6889,5846,112
特立尼达和多巴哥,16,6751,5907,122
乌拉圭,-,6731,4826,80
斯威士兰,15,6495,6078,122
卢旺达,41,6084,5696,51
马拉维,2,6049,5476,185
尼加拉瓜,-,5838,4225,161
刚果（布）,-,5774,4988,94
吉布提,2,5692,5592,61
圭亚那,36,5637,4733,151
马提尼克,-,5520,0,41
冰岛,-,5476,5253,27
苏里南,-,5322,5205,117
马约特,-,5181,0,49
赤道几内亚,-,5159,5023,85
马里,124,5062,3334,163
中非共和国,-,4918,1924,63
阿鲁巴,-,4791,4640,45
索马里,-,4525,3480,121
泰国,-,4072,3848,60
冈比亚,-,3768,3613,123
布基纳法索,65,3156,2697,68
南苏丹,-,3154,2977,62
贝宁,-,3055,2907,44
多哥,-,3051,2599,65
几内亚比绍,-,2441,2327,44
塞拉利昂,-,2420,1842,74
莱索托,5,2150,1278,44
也门共和国,-,2081,350,607
新西兰,-,2078,1994,25
尼日尔,63,1789,1237,77
圣马力诺,-,1789,1412,48
乍得,3,1722,1561,102
利比里亚,-,1676,1358,83
美属维尔京群岛,-,1613,1502,23
列支敦士登,-,1384,1183,17
越南,-,1365,1220,35
泽西岛,-,1170,768,32
荷属圣马丁,-,1120,1007,26
圣多美和普林西比,-,999,937,17
蒙古,23,842,368,0
法属波利尼西亚,-,773,528,0
圣马丁岛,-,744,0,12
布隆迪共和国,-,692,4,1
巴布亚新几内亚,-,671,597,7
特克斯和凯科斯群岛,-,668,572,5
摩纳哥,7,637,572,3
厄立特里亚,-,632,508,0
科摩罗,1,616,600,7
坦桑尼亚,-,509,183,21
毛里求斯,-,508,465,10
不丹,-,424,387,0
马恩岛,-,369,324,25
柬埔寨,-,345,305,0
直布罗陀,-,315,273,0
开曼群岛,-,288,257,2
根西岛,-,288,271,13
巴巴多斯,1,285,260,7
百慕大,-,272,216,9
圣卢西亚,3,265,158,2
