国家,确诊,治愈,死亡,人口,死亡率（%）,确诊率（%）,治愈率（%）
毛里求斯,523,489,10,1265577.0,1.912,0.0413,93.499
坦桑尼亚,509,183,21,55890747.0,4.1257,0.0009,35.9528
不丹,438,404,0,741672.0,0.0,0.0591,92.2374
柬埔寨,362,312,0,16289270.0,0.0,0.0022,86.1878
巴巴多斯,296,272,7,287010.0,2.3649,0.1031,91.8919
圣卢西亚,278,240,4,180454.0,1.4388,0.1541,86.3309
塞舌尔,187,182,0,96762.0,0.0,0.1933,97.3262
文莱,152,147,3,421300.0,1.9737,0.0361,96.7105
安提瓜和巴布达,148,138,5,104084.0,3.3784,0.1422,93.2432
圣文森特和格林纳丁斯,98,81,0,109803.0,0.0,0.0893,82.6531
英属维尔京群岛,76,70,1,32206.0,1.3158,0.236,92.1053
斐济,46,38,2,884887.0,4.3478,0.0052,82.6087
老挝,41,34,0,7123205.0,0.0,0.0006,82.9268
东帝汶,31,30,0,1387149.0,0.0,0.0022,96.7742
梵蒂冈,27,15,0,800.0,0.0,3.375,55.5556
