国家,新增确诊,确诊,治愈,死亡
美国,173861,15159529,8855593,288906
印度,32981,9677203,9139901,140573
巴西,26363,6603540,5866657,176941
俄罗斯,27798,2466961,1939393,43122
法国,11022,2345648,175220,55247
意大利,18887,1728878,913494,60078
英国,17371,1727755,3736,61342
西班牙,5554,1699145,196958,46252
阿根廷,3278,1463110,1294692,39770
哥伦比亚,8854,1371103,1257410,37808
德国,10910,1194550,868310,19000
墨西哥,7455,1175850,866186,109717
波兰,4421,1067870,722446,20181
伊朗,10827,1051374,742955,50594
秘鲁,1224,973912,907654,36274
乌克兰,8985,843898,440899,14208
土耳其,30402,828295,431253,14900
南非,4116,814565,744780,22206
比利时,1814,591756,33687,17320
印度尼西亚,5754,581550,479202,17867
荷兰,7202,573697,7300,9785
伊拉克,1680,564200,493567,12432
智利,1714,560382,534789,15628
捷克,1109,546833,478094,8902
罗马尼亚,3660,517236,409121,12447
孟加拉国,2198,479743,398623,6874
菲律宾,1565,441399,408702,8572
巴基斯坦,3795,420294,356542,8398
加拿大,6305,418848,334375,12688
摩洛哥,2919,379657,331301,6245
沙特阿拉伯,209,358922,349168,5977
瑞士,9809,354306,260600,5422
以色列,1433,345661,329586,2917
葡萄牙,3834,322474,243055,4963
奥地利,2263,305693,256811,3897
瑞典,-,278912,4917,7067
匈牙利,3870,254148,74283,5984
尼泊尔,1014,241995,227433,1614
约旦,2576,240089,187444,3056
塞尔维亚,5809,219652,15913,1949
厄瓜多尔,607,197998,174188,13778
哈萨克斯坦,745,180089,151755,2488
巴拿马,1812,177719,152890,3193
阿联酋,1148,177577,159711,594
格鲁吉亚,2501,164976,137499,1540
日本,1505,164400,136747,2298
保加利亚,577,161421,62246,4797
克罗地亚,1886,152239,127882,2233
白俄罗斯,1796,148953,126084,1215
多米尼加,798,148453,116873,2345
阿塞拜疆,4356,146679,88497,1632
玻利维亚,68,145560,124799,8995
科威特,230,144599,140341,897
哥斯达黎加,-,143685,95789,1773
亚美尼亚,407,142344,117649,2344
卡塔尔,-,139908,137276,239
黎巴嫩,1236,137112,90229,1099
危地马拉,198,125550,114315,4250
阿曼,229,125115,116506,1452
埃及,418,118432,103501,6771
斯洛伐克,552,117283,84850,1018
摩尔多瓦,808,116365,101244,2419
希腊,903,115471,23074,3003
埃塞俄比亚,555,113295,80831,1747
洪都拉斯,1063,111023,49456,2946
委内瑞拉,265,104442,99494,919
突尼斯,1011,104002,76441,3561
巴勒斯坦,1720,99758,74053,848
缅甸,1108,99155,77636,2110
波多黎各,-,95707,45565,1155
波黑,739,94507,58625,2952
丹麦,2046,93177,72401,894
肯尼亚,396,88380,68929,1526
阿尔及利亚,750,88252,57146,2516
巴林,198,87930,86030,341
巴拉圭,707,87920,61948,1853
利比亚,517,87097,57380,1243
斯洛文尼亚,480,86285,63999,1796
立陶宛,1387,76036,30449,637
吉尔吉斯斯坦,422,75395,67400,1297
马来西亚,1600,74294,62306,384
爱尔兰,298,74246,23364,2099
乌兹别克斯坦,149,74053,71315,611
尼日利亚,318,69255,64774,1180
北马其顿,657,67968,43646,1924
新加坡,13,58273,58160,29
加纳,76,52274,51063,325
阿富汗,210,47516,37879,1900
阿尔巴尼亚,840,42988,21617,905
萨尔瓦多,-,40131,36525,1164
挪威,123,38323,17998,359
黑山,367,38246,26999,533
韩国,615,38161,29301,549
卢森堡,-,37017,28029,345
斯里兰卡,613,28203,20804,140
澳大利亚,7,27972,25643,908
芬兰,250,27881,18100,415
喀麦隆,-,24752,23344,443
乌干达,311,22499,9175,206
拉脱维亚,207,21520,1866,272
科特迪瓦,44,21485,21109,132
苏丹,272,19468,11021,1295
库拉索岛,-,18762,0,408
赞比亚共和国,-,17730,17059,357
马达加斯加,-,17513,16927,255
塞内加尔,76,16553,15806,340
莫桑比克,111,16244,14416,133
安哥拉,55,15591,8338,354
爱沙尼亚,248,15226,9009,134
纳米比亚,128,15078,13939,152
刚果（金）,114,13527,11947,344
几内亚,-,13233,12355,76
马尔代夫,39,13198,12321,47
塞浦路斯,270,12451,2057,61
塔吉克斯坦,39,12428,11833,87
博茨瓦纳,-,11531,8978,34
牙买加,57,11120,6998,265
佛得角,27,11063,10596,109
津巴布韦,101,10718,8880,291
马耳他,139,10659,8497,155
法属圭亚那,-,9692,9341,65
毛里塔尼亚,157,9516,7849,188
海地,-,9370,8146,233
加蓬,-,9254,9106,60
古巴,68,8782,7963,136
瓜德罗普岛,-,8427,0,149
叙利亚,83,8403,3943,447
留尼旺,-,8102,0,40
伯利兹,168,7769,3849,173
巴哈马,-,7570,5995,163
乌拉圭,338,7303,5062,82
安道尔,45,7050,6238,78
关岛,-,6889,5846,112
特立尼达和多巴哥,16,6767,5937,122
斯威士兰,6,6501,6090,122
卢旺达,45,6129,5696,51
马拉维,2,6051,5476,185
尼加拉瓜,-,5838,4225,161
刚果（布）,-,5774,4988,94
吉布提,9,5701,5593,61
圭亚那,28,5665,4759,153
马提尼克,-,5520,0,41
冰岛,14,5496,5272,27
苏里南,-,5324,5210,117
马约特,-,5181,0,49
赤道几内亚,7,5166,5036,85
马里,73,5135,3369,164
中非共和国,-,4922,1924,63
阿鲁巴,-,4791,4640,45
索马里,-,4525,3480,121
泰国,21,4107,3868,60
冈比亚,-,3770,3615,123
布基纳法索,56,3212,2711,68
南苏丹,15,3181,2977,62
多哥,10,3095,2653,65
贝宁,18,3073,2922,44
几内亚比绍,-,2441,2327,44
塞拉利昂,6,2426,1846,74
莱索托,5,2150,1278,44
也门共和国,-,2081,350,607
新西兰,1,2079,1998,25
尼日尔,67,1856,1237,77
圣马力诺,-,1789,1412,48
乍得,3,1725,1564,102
利比里亚,-,1676,1358,83
美属维尔京群岛,-,1613,1502,23
列支敦士登,-,1384,1183,17
越南,1,1367,1224,35
泽西岛,-,1261,787,32
荷属圣马丁,-,1139,1017,26
圣多美和普林西比,-,999,937,17
蒙古,38,887,384,0
法属波利尼西亚,-,773,528,0
圣马丁岛,-,744,0,12
布隆迪共和国,-,692,4,1
巴布亚新几内亚,-,671,597,7
特克斯和凯科斯群岛,-,668,572,5
摩纳哥,1,638,574,3
厄立特里亚,-,632,508,0
科摩罗,1,616,600,7
坦桑尼亚,-,509,183,21
毛里求斯,-,508,465,10
不丹,4,430,388,0
马恩岛,-,370,324,25
柬埔寨,2,348,306,0
直布罗陀,-,315,273,0
根西岛,-,288,271,13
开曼群岛,-,288,257,2
巴巴多斯,-,285,260,7
百慕大,-,272,216,9
圣卢西亚,-,265,158,2
塞舌尔,-,184,168,0
法罗群岛,-,184,157,0
荷兰加勒比地区,-,164,0,3
圣巴泰勒米岛,-,152,0,0
文莱,-,151,147,3
安提瓜和巴布达,2,146,134,4
北马里亚纳群岛联邦,-,106,0,2
圣文森特和格林纳丁斯,2,87,80,0
多米尼克,-,85,72,0
英属维尔京群岛,-,73,70,1
斐济,-,44,33,2
格林那达,-,41,30,0
老挝,2,41,26,0
东帝汶,-,31,30,0
梵蒂冈,-,27,15,0
新喀里多尼亚,-,26,23,0
圣其茨和尼维斯,-,22,19,0
福克兰群岛,-,17,13,0
圣皮埃尔和密克隆群岛,-,16,12,0
蒙特塞拉特,-,13,12,1
格陵兰,-,11,11,0
安圭拉,-,3,3,0
中国,133,94295,87907,4753
